statistic	p.value	parameter	method	k
1207.4237251366958	1	2132	Chi-squared test for given probabilities	3
1191.621016841783	1	2132	Chi-squared test for given probabilities	4
1234.016458918677	1	2132	Chi-squared test for given probabilities	5
