statistic	p.value	parameter	method	k
1.0770375515736559e-29	1	1581	Chi-squared test for given probabilities	1
1.6255115212158217e-17	1	1581	Chi-squared test for given probabilities	2
8.505916564056e-9	1	1581	Chi-squared test for given probabilities	3
1.551856388388751e-16	0.9999999999999999	1581	Chi-squared test for given probabilities	4
3.894744179065623e-9	1	1581	Chi-squared test for given probabilities	5
