statistic	p.value	parameter	method	k
576.954183909959	1	1581	Chi-squared test for given probabilities	1
685.8999537170348	1	1581	Chi-squared test for given probabilities	2
581.5904263102788	1	1581	Chi-squared test for given probabilities	3
710.4108023838813	1	1581	Chi-squared test for given probabilities	4
21.167448414154237	1	1581	Chi-squared test for given probabilities	5
