statistic	p.value	parameter	method	k
1202.0608667914858	1	4966	Chi-squared test for given probabilities	1
1343.8522334986758	1	4966	Chi-squared test for given probabilities	2
1244.0772688128418	1	4966	Chi-squared test for given probabilities	3
1317.737408783696	1	4966	Chi-squared test for given probabilities	4
1319.9259822154843	1	4966	Chi-squared test for given probabilities	5
