statistic	p.value	parameter	method	k
791.4821242500245	1	2132	Chi-squared test for given probabilities	1
905.1418785629637	1	2132	Chi-squared test for given probabilities	2
1059.835151163201	1	2132	Chi-squared test for given probabilities	3
1023.8632262222347	1	2132	Chi-squared test for given probabilities	4
1116.0762321455545	1	2132	Chi-squared test for given probabilities	5
