statistic	p.value	parameter	method	k
2632.1132213264964	1	4966	Chi-squared test for given probabilities	1
2868.4225088026756	1	4966	Chi-squared test for given probabilities	2
2459.1456981875563	1	4966	Chi-squared test for given probabilities	3
2970.711199964767	1	4966	Chi-squared test for given probabilities	4
2976.9544777798696	1	4966	Chi-squared test for given probabilities	5
