statistic	p.value	parameter	method	k
1278.6306434218502	1	5062	Chi-squared test for given probabilities	1
1469.3767991649866	1	5062	Chi-squared test for given probabilities	2
1279.812325037232	1	5062	Chi-squared test for given probabilities	3
1417.8650616438974	1	5062	Chi-squared test for given probabilities	4
1426.814126643097	1	5062	Chi-squared test for given probabilities	5
