statistic	p.value	parameter	method	k
1202.2750880579397	1	5062	Chi-squared test for given probabilities	1
1556.4185573399889	1	5062	Chi-squared test for given probabilities	2
1048.6263427981453	1	5062	Chi-squared test for given probabilities	3
1504.6070967058392	1	5062	Chi-squared test for given probabilities	4
1505.208467885791	1	5062	Chi-squared test for given probabilities	5
