statistic	p.value	parameter	method	k
767.15821240739	1	2132	Chi-squared test for given probabilities	1
850.2294780178612	1	2132	Chi-squared test for given probabilities	2
1049.635464928159	1	2132	Chi-squared test for given probabilities	3
997.131899738448	1	2132	Chi-squared test for given probabilities	4
1110.9224877182837	1	2132	Chi-squared test for given probabilities	5
