statistic	p.value	parameter	method	k
3934.691455311871	1	15103	Chi-squared test for given probabilities	1
2097.769087868377	1	15103	Chi-squared test for given probabilities	2
1180.1227192544309	1	15103	Chi-squared test for given probabilities	3
1005.2857076510487	1	15103	Chi-squared test for given probabilities	4
949.1931892165912	1	15103	Chi-squared test for given probabilities	5
