statistic	p.value	parameter	method	k
12.22105321196591	0.9773013541117049	24	Chi-squared test for given probabilities	1
8.388436617686212	0.9986416489607752	24	Chi-squared test for given probabilities	2
6.661904664624674	0.9998141776866212	24	Chi-squared test for given probabilities	3
4.778070167853688	0.9999919183182511	24	Chi-squared test for given probabilities	4
7.723169126916165	0.9993208524317677	24	Chi-squared test for given probabilities	5
