statistic	p.value	parameter	method	k
117.75539656985165	1	1533	Chi-squared test for given probabilities	1
353.13493701695273	1	1533	Chi-squared test for given probabilities	2
522.0266019900658	1	1533	Chi-squared test for given probabilities	3
534.167493011688	1	1533	Chi-squared test for given probabilities	4
141.83331664519935	1	1533	Chi-squared test for given probabilities	5
