statistic	p.value	parameter	method	k
2.643756569738189	0.9999999823777516	24	Chi-squared test for given probabilities	1
1.292884006682192	0.9999999999938718	24	Chi-squared test for given probabilities	2
5.359893971986127	0.9999753617312969	24	Chi-squared test for given probabilities	3
3.3930231463895297	0.9999997501841399	24	Chi-squared test for given probabilities	4
4.638717521717408	0.999993963797428	24	Chi-squared test for given probabilities	5
