statistic	p.value	parameter	method	k
4488.8598748484055	1	18137	Chi-squared test for given probabilities	1
3993.5709744280903	1	18137	Chi-squared test for given probabilities	2
3519.73417006261	1	18137	Chi-squared test for given probabilities	3
3365.8143947688436	1	18137	Chi-squared test for given probabilities	4
2937.9569183494473	1	18137	Chi-squared test for given probabilities	5
