statistic	p.value	parameter	method	k
4062.501426530089	1	17438	Chi-squared test for given probabilities	1
4142.209107219398	1	17438	Chi-squared test for given probabilities	2
4109.384676440172	1	17438	Chi-squared test for given probabilities	3
3791.016009275743	1	17438	Chi-squared test for given probabilities	4
4054.908145178283	1	17438	Chi-squared test for given probabilities	5
