statistic	p.value	parameter	method	k
4694.265738599048	1	18137	Chi-squared test for given probabilities	1
3798.044106479073	1	18137	Chi-squared test for given probabilities	2
1818.2015410344725	1	18137	Chi-squared test for given probabilities	3
726.8015115314175	1	18137	Chi-squared test for given probabilities	4
2882.828095836033	1	18137	Chi-squared test for given probabilities	5
