statistic	p.value	parameter	method	k
3274.6551690054985	1	17438	Chi-squared test for given probabilities	1
3867.764126241333	1	17438	Chi-squared test for given probabilities	2
3194.0915289098525	1	17438	Chi-squared test for given probabilities	3
3477.229782855415	1	17438	Chi-squared test for given probabilities	4
3171.4836502730263	1	17438	Chi-squared test for given probabilities	5
