hallmark_name	comparison	pathway_score_difference	tukey_p_value	bonferroni_pvalue	significant_tukey	significant_tukey_bonf
HALLMARK_OXIDATIVE_PHOSPHORYLATION	Embryonal tumor-Diffuse astrocytic and oligodendroglial tumor	0.08589653707788372	0.5627535419992404	1	FALSE	FALSE
HALLMARK_P53_PATHWAY	Embryonal tumor-Diffuse astrocytic and oligodendroglial tumor	-0.15993871339967425	0.10505742225568881	1	FALSE	FALSE
HALLMARK_PANCREAS_BETA_CELLS	Embryonal tumor-Diffuse astrocytic and oligodendroglial tumor	0.16575220456031453	0.02569734212204311	1	FALSE	FALSE
HALLMARK_PEROXISOME	Embryonal tumor-Diffuse astrocytic and oligodendroglial tumor	-0.17526102155818868	0.0418438294565443	1	FALSE	FALSE
HALLMARK_PI3K_AKT_MTOR_SIGNALING	Embryonal tumor-Diffuse astrocytic and oligodendroglial tumor	-0.09696303930942017	0.38593514522443306	1	FALSE	FALSE
HALLMARK_PROTEIN_SECRETION	Embryonal tumor-Diffuse astrocytic and oligodendroglial tumor	-0.23532297443807543	0.10993886972756495	1	FALSE	FALSE
HALLMARK_REACTIVE_OXIGEN_SPECIES_PATHWAY	Embryonal tumor-Diffuse astrocytic and oligodendroglial tumor	-0.12370470619867564	0.3378495836562462	1	FALSE	FALSE
HALLMARK_SPERMATOGENESIS	Embryonal tumor-Diffuse astrocytic and oligodendroglial tumor	0.10197033729892424	0.09320587622289445	1	FALSE	FALSE
HALLMARK_TGF_BETA_SIGNALING	Embryonal tumor-Diffuse astrocytic and oligodendroglial tumor	-0.2206816539663944	0.05095143092881094	1	FALSE	FALSE
HALLMARK_TNFA_SIGNALING_VIA_NFKB	Embryonal tumor-Diffuse astrocytic and oligodendroglial tumor	-0.5006030222806486	0.0010773322968827825	0.05386661484413913	TRUE	FALSE
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	Embryonal tumor-Diffuse astrocytic and oligodendroglial tumor	0.186292476309971	0.17421055983990996	1	FALSE	FALSE
HALLMARK_UV_RESPONSE_DN	Embryonal tumor-Diffuse astrocytic and oligodendroglial tumor	-0.16292851964006153	0.13075829032066022	1	FALSE	FALSE
HALLMARK_UV_RESPONSE_UP	Embryonal tumor-Diffuse astrocytic and oligodendroglial tumor	-0.13751026268245733	0.12990653976978483	1	FALSE	FALSE
HALLMARK_WNT_BETA_CATENIN_SIGNALING	Embryonal tumor-Diffuse astrocytic and oligodendroglial tumor	0.12756678728871693	0.21644087064214212	1	FALSE	FALSE
HALLMARK_XENOBIOTIC_METABOLISM	Embryonal tumor-Diffuse astrocytic and oligodendroglial tumor	-0.2446997017528894	0.0034640935823333496	0.17320467911666748	TRUE	FALSE
