hallmark_name	comparison	pathway_score_difference	tukey_p_value	bonferroni_pvalue	significant_tukey	significant_tukey_bonf
HALLMARK_PROTEIN_SECRETION	High-grade glioma/astrocytoma-Diffuse midline glioma	0.20826512125893373	0.40174063497664103	1	FALSE	FALSE
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	High-grade glioma/astrocytoma-Diffuse midline glioma	0.19646131782060391	0.28007990341651445	1	FALSE	FALSE
HALLMARK_SPERMATOGENESIS	High-grade glioma/astrocytoma-Diffuse midline glioma	-0.09224063670509841	0.3385958225522193	1	FALSE	FALSE
HALLMARK_TGF_BETA_SIGNALING	High-grade glioma/astrocytoma-Diffuse midline glioma	0.00967206964148068	0.9538543602286305	1	FALSE	FALSE
HALLMARK_TNFA_SIGNALING_VIA_NFKB	High-grade glioma/astrocytoma-Diffuse midline glioma	-1.2117243309106573e-4	0.9996149763288276	1	FALSE	FALSE
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	High-grade glioma/astrocytoma-Diffuse midline glioma	0.3584505393044982	0.15469777196407886	1	FALSE	FALSE
HALLMARK_UV_RESPONSE_DN	High-grade glioma/astrocytoma-Diffuse midline glioma	-0.19159447139917027	0.1941091129376996	1	FALSE	FALSE
HALLMARK_UV_RESPONSE_UP	High-grade glioma/astrocytoma-Diffuse midline glioma	0.1423532921622492	0.2846170263802781	1	FALSE	FALSE
HALLMARK_WNT_BETA_CATENIN_SIGNALING	High-grade glioma/astrocytoma-Diffuse midline glioma	0.06840416856269435	0.6691471777745039	1	FALSE	FALSE
HALLMARK_XENOBIOTIC_METABOLISM	High-grade glioma/astrocytoma-Diffuse midline glioma	-0.0018194322885056319	0.9872405352722655	1	FALSE	FALSE
