cancer_group_display	n
Ganglioglioma	6
Other low-grade glioma	1
Pilocytic astrocytoma	5
Atypical Teratoid Rhabdoid Tumor	4
Medulloblastoma	11
Other embryonal tumor	4
Diffuse midline glioma	29
Dysembryoplastic neuroepithelial tumor	1
Ependymoma	9
Ewing sarcoma	1
Meningioma	4
Other	3
Schwannoma	2
Teratoma	2
