sample_id	tp53_score	tp53_shuffle
BS_00FD2KMP	0.6682830173572911	0.6097846658125298
BS_2853394H	0.7533182077022905	0.4190573033667063
BS_3ZPJAK9A	0.7787926608453729	0.4587739385555404
BS_4KNBXM3C	0.49419329085999975	0.4499855994337917
BS_8ZE4Z9G5	0.7301836450916966	0.45177774448814584
BS_CZPQ493E	0.38419137631257705	0.5824582108015128
BS_E7NVYA6G	0.3949242916799016	0.35398726660279406
BS_F21R36MM	0.29404247943948947	0.33224636460506213
BS_HRJ9145M	0.2589293533695078	0.568207340516975
BS_KKDTW11T	0.3044760890324209	0.6347250957427047
BS_KRS4EV4X	0.4023002443452712	0.64092506705427
BS_0VXZCRJS	0.3384437719605078	0.45396840521239823
BS_0ZA67BBC	0.7222023403727749	0.5039337401663344
BS_1N7MQZGR	0.5996073517101689	0.5018783561117361
BS_21ET39G7	0.31142842377717456	0.5812483319649769
BS_2JP7RBMB	0.7978954117875678	0.4782051240436173
BS_3AC3SRWH	0.6284664459054595	0.4479204620807195
BS_49CJNZ06	0.9232347069506588	0.22810112601892854
BS_4PPHAQXF	0.23924744385436392	0.6814421484893172
BS_4PWDGEB0	0.017504682219151548	0.7295064212204422
BS_58YXHGAJ	0.7298282043291545	0.5049901573326214
BS_5VPM0F36	0.36427006357286873	0.39038190524283184
BS_685DACMS	0.31895773809995576	0.809111707810483
BS_68KX6A42	0.9218038234886772	0.3986412876679419
BS_6M2053M0	0.8150309360609582	0.38256159365557385
BS_7WM3MNZ0	0.8823677080242922	0.49013445969219516
BS_8ZY4GST0	0.884835695900336	0.5455639578420919
BS_BMMY0H73	0.7386215491956952	0.3002979330011023
BS_BYCX6VK1	0.13879998571660634	0.5600960577483138
BS_C83TK159	0.7884216109320937	0.5977240931111563
BS_EZ3147MX	0.961568312235533	0.3630356391323717
BS_F0JB4EAK	0.723768272481611	0.548242076419978
BS_FCDAH728	0.7222209858120439	0.2891534262872858
BS_G3NN392N	0.8247088091663684	0.4487791978447178
BS_GWSJ4Z9H	0.8322999616601954	0.5472105262574563
BS_H97S5SQN	0.8499795911254645	0.5438775813946894
BS_HWGWYCY7	0.8871095254990018	0.7314930682301934
BS_JB43XBCQ	0.678219523608486	0.4128558871036906
BS_JGA9BP3A	0.15856862921353088	0.571348343980743
BS_JQVAWTTM	0.6721951426283458	0.7137851131429155
BS_KBEX4RT2	0.01746722568734399	0.6353177567243464
BS_NB9XXBW6	0.8556954459888556	0.5689236247434636
BS_NEVYM2FP	0.695865366539897	0.519682895407041
BS_NGSG2KB6	0.7358532592835598	0.4468516869671293
BS_NPA6CZQF	0.6671525971962526	0.6055096754996601
BS_PS0P3QJ3	0.20172599464895427	0.22014750749281792
BS_PXCPK5XS	0.7528214432390443	0.7250953830024064
BS_QKT3TJVK	0.17405901321508915	0.49948174421799024
BS_QNNX91SM	0.92887583553267	0.27957029417560353
