fpr	tpr	threshold	auroc	gene	shuffled
0.0	0.0	1.9706252144701428	0.9023929471032746	TP53	False
0.005037783375314861	0.0	0.9706252144701428	0.9023929471032746	TP53	False
0.005037783375314861	0.0625	0.961568312235533	0.9023929471032746	TP53	False
0.005037783375314861	0.125	0.9385499372727556	0.9023929471032746	TP53	False
0.005037783375314861	0.1875	0.9288758355326701	0.9023929471032746	TP53	False
0.010075566750629723	0.1875	0.9232347069506586	0.9023929471032746	TP53	False
0.010075566750629723	0.25	0.9226684778888022	0.9023929471032746	TP53	False
0.010075566750629723	0.3125	0.9218038234886772	0.9023929471032746	TP53	False
0.015113350125944584	0.3125	0.8871095254990018	0.9023929471032746	TP53	False
0.020151133501259445	0.3125	0.884835695900336	0.9023929471032746	TP53	False
0.020151133501259445	0.375	0.8823677080242922	0.9023929471032746	TP53	False
0.030226700251889168	0.375	0.880074867546429	0.9023929471032746	TP53	False
0.03526448362720403	0.375	0.8556954459888555	0.9023929471032746	TP53	False
0.03526448362720403	0.4375	0.8499795911254645	0.9023929471032746	TP53	False
0.03526448362720403	0.5	0.8322999616601953	0.9023929471032746	TP53	False
0.03526448362720403	0.5625	0.8281748752651121	0.9023929471032746	TP53	False
0.03526448362720403	0.625	0.8247088091663684	0.9023929471032746	TP53	False
0.03526448362720403	0.6875	0.8150309360609581	0.9023929471032746	TP53	False
0.03526448362720403	0.75	0.7978954117875678	0.9023929471032746	TP53	False
0.04030226700251889	0.75	0.7884216109320937	0.9023929471032746	TP53	False
0.042821158690176324	0.75	0.7729920820005657	0.9023929471032746	TP53	False
0.04785894206549118	0.75	0.7724702108239457	0.9023929471032746	TP53	False
0.05289672544080604	0.75	0.7621450354908417	0.9023929471032746	TP53	False
0.05793450881612091	0.75	0.7528214432390443	0.9023929471032746	TP53	False
0.06801007556675064	0.75	0.7386215491956952	0.9023929471032746	TP53	False
0.06801007556675064	0.8125	0.7358532592835599	0.9023929471032746	TP53	False
0.07304785894206549	0.8125	0.7298282043291546	0.9023929471032746	TP53	False
0.07556675062972293	0.8125	0.7264881202681789	0.9023929471032746	TP53	False
0.08060453400503778	0.8125	0.7254254760877005	0.9023929471032746	TP53	False
0.08564231738035265	0.8125	0.7237682724816109	0.9023929471032746	TP53	False
0.0906801007556675	0.8125	0.7222209858120439	0.9023929471032746	TP53	False
0.09571788413098237	0.8125	0.7222023403727749	0.9023929471032746	TP53	False
0.10075566750629723	0.8125	0.7097356612764626	0.9023929471032746	TP53	False
0.10327455919395466	0.8125	0.7059805595984839	0.9023929471032746	TP53	False
0.10579345088161209	0.8125	0.7036644052505817	0.9023929471032746	TP53	False
0.10831234256926953	0.8125	0.7006139283370639	0.9023929471032746	TP53	False
0.11335012594458438	0.8125	0.6964686627909068	0.9023929471032746	TP53	False
0.11838790931989925	0.8125	0.6958653665398971	0.9023929471032746	TP53	False
0.12342569269521411	0.8125	0.6827251143051464	0.9023929471032746	TP53	False
0.12594458438287154	0.8125	0.67921411956486	0.9023929471032746	TP53	False
0.12594458438287154	0.875	0.6782195236084859	0.9023929471032746	TP53	False
0.12846347607052896	0.875	0.675131787951961	0.9023929471032746	TP53	False
0.1309823677581864	0.875	0.6727072708484501	0.9023929471032746	TP53	False
