sample_id	ras_score	tp53_score	nf1_score	ras_shuffle	tp53_shuffle	nf1_shuffle
BS_00FD2KMP	0.2587166105203342	0.6682830173572911	0.5069034754328774	0.6943049781818547	0.6097846658125298	0.6674125518401027
BS_2853394H	0.28116435723479627	0.7533182077022905	0.36193644858079016	0.447163344720701	0.4190573033667063	0.343234347306373
BS_3ZPJAK9A	0.3498956221322614	0.7787926608453729	0.47116770985981793	0.6426525634214912	0.4587739385555404	0.44026090503101906
BS_4KNBXM3C	0.4988957392055644	0.49419329085999975	0.46414375410825165	0.5213352128595795	0.4499855994337917	0.5526114392478958
BS_8ZE4Z9G5	0.8287120005323902	0.7301836450916966	0.4646759331982989	0.2730509582083952	0.45177774448814584	0.48916195320874784
BS_CZPQ493E	0.4352244039326437	0.38419137631257705	0.49477963920817236	0.5513270336873153	0.5824582108015128	0.4661461273287029
BS_E7NVYA6G	0.5955603296233573	0.3949242916799016	0.5257084772321211	0.4044645734650637	0.35398726660279406	0.530782906480752
BS_F21R36MM	0.5571213288803765	0.29404247943948947	0.5801626006235029	0.4125762193472241	0.33224636460506213	0.5084158733891933
BS_HRJ9145M	0.5165139310618571	0.2589293533695078	0.6050120784607893	0.38112870238938373	0.568207340516975	0.4969897108955335
BS_KKDTW11T	0.6911359201333999	0.3044760890324209	0.5583022883172479	0.624979818126125	0.6347250957427047	0.5385832080970719
BS_KRS4EV4X	0.45296355507607705	0.4023002443452712	0.4685075088978859	0.5515496376777278	0.64092506705427	0.4652343593580291
