sample_id	ras_score	tp53_score	nf1_score	ras_shuffle	tp53_shuffle	nf1_shuffle
BS_0VXZCRJS	0.8052294565070452	0.3384437719605078	0.8578889030196413	0.6795131685081653	0.45396840521239823	0.5448061119700918
BS_0ZA67BBC	0.476982174621875	0.7222023403727749	0.4504475264148509	0.5148462471293682	0.5039337401663344	0.5539902616893856
BS_1N7MQZGR	0.44205040958439634	0.5996073517101689	0.5152479982717977	0.5557529855236151	0.5018783561117361	0.6113705640462838
BS_21ET39G7	0.4862588244880714	0.31142842377717456	0.5474010680496838	0.6100514377278625	0.5812483319649769	0.5391120384319114
BS_2JP7RBMB	0.45730689876556213	0.7978954117875678	0.4851577105857712	0.5317058931782026	0.4782051240436173	0.6019979662760434
BS_3AC3SRWH	0.2847563338773603	0.6284664459054595	0.45266274352480373	0.43324175762034123	0.4479204620807195	0.5564260460717289
BS_49CJNZ06	0.8063871448738402	0.9232347069506588	0.5428421984345941	0.5855558872225025	0.22810112601892854	0.5214627526405425
BS_4PPHAQXF	0.5993240427524876	0.23924744385436392	0.785215637177264	0.706000958634938	0.6814421484893172	0.4233767523948548
BS_4PWDGEB0	0.21071953876269578	0.017504682219151548	0.5791754123867415	0.6015670424200138	0.7295064212204422	0.5719150943088289
BS_58YXHGAJ	0.2749828618381876	0.7298282043291545	0.41320309172909137	0.4216046800648991	0.5049901573326214	0.4909001133357971
BS_5VPM0F36	0.6168614381639883	0.36427006357286873	0.5916293128913553	0.5936529218541133	0.39038190524283184	0.44697743489490305
BS_685DACMS	0.49973518821875323	0.31895773809995576	0.4506478113908548	0.38248218609876694	0.809111707810483	0.41632262226864586
BS_68KX6A42	0.41450249690683993	0.9218038234886772	0.5341660096257325	0.3206977071592607	0.3986412876679419	0.4374339496771559
BS_6M2053M0	0.3705820615962208	0.8150309360609582	0.45370514062960426	0.4814927016825957	0.38256159365557385	0.5079278316386263
BS_7WM3MNZ0	0.4713750544947195	0.8823677080242922	0.4249048324753147	0.6752158084537907	0.49013445969219516	0.4334573609415077
BS_8ZY4GST0	0.4378751613309027	0.884835695900336	0.3895726864728973	0.5685642362897014	0.5455639578420919	0.5190691029511164
BS_BMMY0H73	0.4474880537188587	0.7386215491956952	0.5925837838588218	0.5176266749081122	0.3002979330011023	0.35428496710393104
BS_BYCX6VK1	0.9246037691160092	0.13879998571660634	0.9055498993028084	0.5579379272419589	0.5600960577483138	0.5325348682938075
BS_C83TK159	0.46586978689802544	0.7884216109320937	0.47526573315342124	0.6270020424079458	0.5977240931111563	0.7261809208896782
BS_EZ3147MX	0.5038020516421223	0.961568312235533	0.40673361863021595	0.5466480056076631	0.3630356391323717	0.480456867789971
BS_F0JB4EAK	0.3573394888865443	0.723768272481611	0.443933832311421	0.40568490104050003	0.548242076419978	0.5569254611173905
BS_FCDAH728	0.6564196266178295	0.7222209858120439	0.4808215783562905	0.5504881206920281	0.2891534262872858	0.47182057266231886
BS_G3NN392N	0.3287088322698777	0.8247088091663684	0.4407372999994656	0.4169528887130474	0.4487791978447178	0.5006499298926014
BS_GWSJ4Z9H	0.33461047457529747	0.8322999616601954	0.5391466872644205	0.5810773943005848	0.5472105262574563	0.46753773933486353
BS_H97S5SQN	0.4264915967099389	0.8499795911254645	0.45693097084685014	0.6305635992879912	0.5438775813946894	0.4833306124773989
BS_HWGWYCY7	0.5886515250996017	0.8871095254990018	0.5326132119322589	0.44943444825348866	0.7314930682301934	0.4185311600009569
BS_JB43XBCQ	0.5018289767087251	0.678219523608486	0.5223499916938711	0.5184522489428299	0.4128558871036906	0.44640149773405385
BS_JGA9BP3A	0.28874381744984595	0.15856862921353088	0.38998870515106293	0.5533862586079147	0.571348343980743	0.5745144478598552
BS_JQVAWTTM	0.41593434588642764	0.6721951426283458	0.5277350351910517	0.6181111381786139	0.7137851131429155	0.3699144138821793
BS_KBEX4RT2	0.7820513018574509	0.01746722568734399	0.7511487947350324	0.6758369453135287	0.6353177567243464	0.5026157672909426
BS_NB9XXBW6	0.3535228472508511	0.8556954459888556	0.4239488936781412	0.5839406807957704	0.5689236247434636	0.47136840448709677
BS_NEVYM2FP	0.5433920074092782	0.695865366539897	0.4593160075992974	0.4734743388157693	0.519682895407041	0.46634053684588195
BS_NGSG2KB6	0.5470203287516008	0.7358532592835598	0.5235426089452795	0.5149039724366334	0.4468516869671293	0.4856213674103612
BS_NPA6CZQF	0.2726816742253515	0.6671525971962526	0.44422661354627113	0.4461301091855115	0.6055096754996601	0.4768647924095617
BS_PS0P3QJ3	0.7191417573490708	0.20172599464895427	0.6022776232405213	0.36656640589271733	0.22014750749281792	0.38731984988597806
BS_PXCPK5XS	0.7661588906254705	0.7528214432390443	0.43985415815996787	0.21612904335715663	0.7250953830024064	0.5434962421573244
BS_QKT3TJVK	0.9541932006472092	0.17405901321508915	0.34885202205587074	0.4553055011384646	0.49948174421799024	0.3692665384191663
BS_QNNX91SM	0.630775216933849	0.92887583553267	0.45564660969264476	0.39874951089683536	0.27957029417560353	0.4751285205526021
BS_R7NTZR4C	0.4256994036193889	0.9385499372727557	0.3575988856556381	0.5850007338258831	0.4926096927050704	0.5710173815060933
BS_R9B92M75	0.42289805566671385	0.6057346683813885	0.5217978385050499	0.6226174265137506	0.3094448626497369	0.4623905547953239
BS_RX1YTZ7F	0.5232753535003062	0.6420363420896398	0.5762911938096761	0.6172200126684255	0.5087148714476096	0.5467978119809739
BS_S6Q7NKA3	0.29295496365029766	0.880074867546429	0.44213029160594347	0.3978957755843974	0.6986680898359704	0.5062616064981267
