fpr	tpr	threshold	auroc	gene	shuffled
0.0	0.0	1.8495545644691238	0.35516372795969775	TP53	True
0.005037783375314861	0.0	0.8495545644691237	0.35516372795969775	TP53	True
0.010075566750629723	0.0	0.8467135404323419	0.35516372795969775	TP53	True
0.012594458438287154	0.0	0.8159250791924	0.35516372795969775	TP53	True
0.017632241813602016	0.0	0.809111707810483	0.35516372795969775	TP53	True
0.022670025188916875	0.0	0.7748198234607997	0.35516372795969775	TP53	True
0.02518891687657431	0.0	0.7693837545885522	0.35516372795969775	TP53	True
0.027707808564231738	0.0	0.7622943431392868	0.35516372795969775	TP53	True
0.0327455919395466	0.0	0.7620946897894654	0.35516372795969775	TP53	True
0.03526448362720403	0.0	0.747915498356188	0.35516372795969775	TP53	True
0.04030226700251889	0.0	0.747276403772819	0.35516372795969775	TP53	True
0.042821158690176324	0.0	0.7385161335563268	0.35516372795969775	TP53	True
0.04534005037783375	0.0	0.7347067589078113	0.35516372795969775	TP53	True
0.04785894206549118	0.0	0.7318867398824138	0.35516372795969775	TP53	True
0.05289672544080604	0.0	0.7314930682301931	0.35516372795969775	TP53	True
0.05793450881612091	0.0	0.7295064212204421	0.35516372795969775	TP53	True
0.06297229219143577	0.0	0.7250953830024065	0.35516372795969775	TP53	True
0.0654911838790932	0.0	0.7204422290840141	0.35516372795969775	TP53	True
0.07052896725440806	0.0	0.7137851131429156	0.35516372795969775	TP53	True
0.07556675062972293	0.0	0.7078622028902862	0.35516372795969775	TP53	True
0.08060453400503778	0.0	0.7052558778937706	0.35516372795969775	TP53	True
0.08564231738035265	0.0	0.7044447485428837	0.35516372795969775	TP53	True
0.08816120906801007	0.0	0.7018246569063784	0.35516372795969775	TP53	True
0.0982367758186398	0.0	0.6986680898359704	0.35516372795969775	TP53	True
0.10327455919395466	0.0	0.6952989916414455	0.35516372795969775	TP53	True
0.10579345088161209	0.0	0.6937451214546093	0.35516372795969775	TP53	True
0.11083123425692695	0.0	0.6817584418430054	0.35516372795969775	TP53	True
0.12090680100755667	0.0	0.6814421484893171	0.35516372795969775	TP53	True
0.12594458438287154	0.0	0.6811198086134056	0.35516372795969775	TP53	True
0.12846347607052896	0.0	0.6696226488365766	0.35516372795969775	TP53	True
0.13350125944584382	0.0	0.6688460541071697	0.35516372795969775	TP53	True
0.1385390428211587	0.0	0.6673406109234999	0.35516372795969775	TP53	True
0.14105793450881612	0.0	0.6672009635471451	0.35516372795969775	TP53	True
0.14609571788413098	0.0	0.6658823835862873	0.35516372795969775	TP53	True
0.1486146095717884	0.0	0.6652608084628325	0.35516372795969775	TP53	True
0.15113350125944586	0.0	0.6602558748910984	0.35516372795969775	TP53	True
0.15365239294710328	0.0	0.6564930091072616	0.35516372795969775	TP53	True
0.1561712846347607	0.0	0.6539664597068753	0.35516372795969775	TP53	True
0.15869017632241814	0.0	0.6492165131838761	0.35516372795969775	TP53	True
0.163727959697733	0.0	0.6487436809340215	0.35516372795969775	TP53	True
0.16624685138539042	0.0	0.6468826236064937	0.35516372795969775	TP53	True
0.16876574307304787	0.0	0.6455669756636884	0.35516372795969775	TP53	True
0.17380352644836272	0.0	0.6404293381025042	0.35516372795969775	TP53	True
0.17632241813602015	0.0	0.6384340871537376	0.35516372795969775	TP53	True
0.181360201511335	0.0	0.6374075342233179	0.35516372795969775	TP53	True
0.18639798488664988	0.0	0.6353177567243464	0.35516372795969775	TP53	True
0.1889168765743073	0.0	0.6331960637638491	0.35516372795969775	TP53	True
0.19143576826196473	0.0	0.6319969966498158	0.35516372795969775	TP53	True
0.1964735516372796	0.0	0.6310503512024882	0.35516372795969775	TP53	True
0.19899244332493704	0.0	0.6288282842347538	0.35516372795969775	TP53	True
0.20151133501259447	0.0	0.6238945423452995	0.35516372795969775	TP53	True
0.2040302267002519	0.0	0.6174090071065989	0.35516372795969775	TP53	True
0.20906801007556675	0.0	0.6164790020675013	0.35516372795969775	TP53	True
0.21158690176322417	0.0	0.6161588139091934	0.35516372795969775	TP53	True
0.2141057934508816	0.0	0.6156507132498549	0.35516372795969775	TP53	True
0.21662468513853905	0.0	0.6155007396609073	0.35516372795969775	TP53	True
0.21914357682619648	0.0	0.6107418045442496	0.35516372795969775	TP53	True
0.22418136020151133	0.0	0.6086111840968732	0.35516372795969775	TP53	True
0.23425692695214106	0.0	0.6055096754996601	0.35516372795969775	TP53	True
0.2367758186397985	0.0	0.6023300340245574	0.35516372795969775	TP53	True
0.23929471032745592	0.0	0.5996968374795408	0.35516372795969775	TP53	True
0.24181360201511334	0.0	0.5982571171350721	0.35516372795969775	TP53	True
0.24685138539042822	0.0	0.5977240931111564	0.35516372795969775	TP53	True
0.24937027707808565	0.0	0.5911840401003972	0.35516372795969775	TP53	True
0.2518891687657431	0.0	0.5880917793697452	0.35516372795969775	TP53	True
0.25692695214105793	0.0	0.5861053369072139	0.35516372795969775	TP53	True
0.2619647355163728	0.0	0.5854709924522903	0.35516372795969775	TP53	True
0.26448362720403024	0.0	0.5847977130028273	0.35516372795969775	TP53	True
0.2695214105793451	0.0	0.5830076241451182	0.35516372795969775	TP53	True
0.27204030226700254	0.0	0.5829645683594434	0.35516372795969775	TP53	True
0.2770780856423174	0.0	0.5812483319649769	0.35516372795969775	TP53	True
0.2795969773299748	0.0	0.5811456195182239	0.35516372795969775	TP53	True
0.28463476070528965	0.0	0.5803628493625771	0.35516372795969775	TP53	True
0.2871536523929471	0.0	0.579188865770996	0.35516372795969775	TP53	True
0.28967254408060455	0.0	0.5786919420487668	0.35516372795969775	TP53	True
