sample_id	ras_score	tp53_score	nf1_score	ras_shuffle	tp53_shuffle	nf1_shuffle
BS_00FD2KMP	0.2587166105203344	0.6612735329510017	0.5069034754328774	0.48892347221101223	0.4849045469944062	0.5492761290031178
BS_2853394H	0.2811643572347964	0.7607887378947297	0.36193644858079016	0.6716122100747559	0.5743945480544966	0.3297996294897006
BS_3ZPJAK9A	0.34989562213226144	0.7848910943982741	0.47116770985981793	0.5921059369181446	0.5167981065646774	0.3895562787499918
BS_4KNBXM3C	0.4988957392055644	0.4982681106119883	0.46414375410825165	0.31064035645610627	0.533266491439808	0.3324414826443425
BS_8ZE4Z9G5	0.82871200053239	0.7238092809687048	0.4646759331982989	0.5886932664535557	0.6964999584954114	0.6194280075430239
BS_CZPQ493E	0.4352244039326436	0.39352906561134177	0.49477963920817236	0.37792038623922697	0.3466549320142758	0.5184463355813536
BS_E7NVYA6G	0.595560329623357	0.38381901449941724	0.5257084772321211	0.5258009087958846	0.3171588384091509	0.5379371589363203
BS_F21R36MM	0.5571213288803765	0.2957308553901651	0.5801626006235029	0.4301817514850419	0.58250219548031	0.48964591645623573
BS_HRJ9145M	0.5165139310618571	0.26292542734795094	0.6050120784607893	0.5284476601952256	0.5329183411228863	0.49841636170806963
BS_KKDTW11T	0.6911359201333999	0.2996625452272103	0.5583022883172479	0.552691511662503	0.6229538001978214	0.614925241585205
BS_KRS4EV4X	0.45296355507607694	0.39565890078702276	0.46850750889788584	0.4367024914429901	0.30217597040217814	0.6281757813149106
BS_014EVM2D	0.4931243217982191	0.36491934405524495	0.6103807617402266	0.5410875785326175	0.38120687430254	0.49025624325385053
BS_02NZT8CE	0.5564904129050497	0.2940681954601465	0.5067381541097387	0.43977549860269083	0.43551373840672974	0.5538788018295252
BS_03FT4S8B	0.6282015571085667	0.4758051498458637	0.5272647664137944	0.27282140691909845	0.5418380266789642	0.45281597433163695
BS_0448A413	0.5220205297889784	0.040022856508928936	0.4102713729835773	0.4372023185757315	0.5841287921449168	0.49058433963047604
BS_044XZ8ST	0.44510178067338635	0.15523267148330505	0.6125437082175591	0.6523658829765825	0.35123973909370826	0.4179517391895655
BS_052PZFMK	0.43043550504085737	0.9190012438826258	0.43758655221296416	0.6144684790641892	0.6008481592441616	0.4375612827958936
BS_063ERW0R	0.5589115280287353	0.5024807432221622	0.5187991710601013	0.5656500756441263	0.34391031383213394	0.5697633846409824
BS_06AMMCXR	0.603508452341746	0.24853354145272571	0.553820186316614	0.34803265450513793	0.3699036769236366	0.48722426925510454
BS_06XH7EVF	0.725468635735363	0.1477862918774817	0.5103205265417393	0.532599037988487	0.5605716303397804	0.49384551757675765
BS_07ANYSYQ	0.286325758913621	0.565231970417775	0.43898891246513333	0.6291155941002113	0.7014539009256681	0.5531073099701278
BS_09R7GDA7	0.5218349851895003	0.5597294752968995	0.5277314863465363	0.5412554515830225	0.3969337877280846	0.5059612038120331
BS_09Z7TC35	0.528489066014228	0.7526571916766276	0.4077935358625704	0.5024425241990124	0.3878623583636845	0.5751072253188588
BS_0BXY0F9N	0.30848424655785206	0.6304413519848785	0.43325589370214707	0.5114572405407475	0.4611135633789267	0.5031126479858465
BS_0C7VZC0A	0.524533071993664	0.4783618148251756	0.6110517248464991	0.4222444027899588	0.5000749220599398	0.419270366683584
BS_0GDJQANN	0.4757756998045955	0.27355922185046044	0.41063903220580156	0.3855720276299316	0.6872806202797673	0.5518834228733678
BS_0HW7W7SD	0.5427400619494632	0.3806721353997414	0.5562872945400753	0.4435514255808883	0.517231297621905	0.4735787423783662
BS_0J9SHHSC	0.5413762848859108	0.4786231964464934	0.5644835938012303	0.47697322123079017	0.6407597360115455	0.5186897481410575
BS_0QYS36NR	0.500013418871697	0.5473204970797267	0.5456552694463298	0.7901062342621376	0.49740205556058925	0.5064836726730947
