sample_id	ras_score	tp53_score	nf1_score	ras_shuffle	tp53_shuffle	nf1_shuffle
TARGET-10-PAKSWW-03A-02R	0.47663665463068955	0.4952371944878111	0.5590997347259137	0.3938470163466049	0.713615685280607	0.6116055948052326
TARGET-10-PAKSWW-04A-01R	0.4396362971355849	0.5749708790445026	0.47908121470543635	0.48221799586748676	0.5118905496802711	0.6909592273894114
TARGET-10-PAMXHJ-09A-01R	0.38489406660217024	0.2371691888492316	0.5031227399812785	0.3812902313045907	0.5073567574558735	0.40897409350491165
TARGET-10-PAMXSP-09A-01R	0.3341237889138282	0.5999859537782722	0.5113665414262817	0.7091208203728528	0.5770285765372926	0.46746603575493795
TARGET-10-PANATY-09B-01R	0.6765973153044021	0.3912052578405975	0.45459518738043153	0.40680849254746204	0.6771174703422317	0.6174979919723799
TARGET-10-PANCVR-03A-01R	0.48505482961082963	0.46813325520230237	0.4761778505067837	0.5715520621053021	0.6335076249230972	0.44322859393655756
TARGET-10-PANCVR-04A-02R	0.3762813807652691	0.6112164784292545	0.5257689999170745	0.6224458666523304	0.5309335229081517	0.48346809946854036
TARGET-10-PANDBX-09B-01R	0.8131389483461942	0.08679591417576411	0.41322011106633444	0.47043685407845104	0.47317829901967756	0.5441728698501663
TARGET-10-PANDWE-03A-02R	0.4169403611927232	0.6977631856183196	0.4128322812377023	0.4817770884489978	0.3321514311792827	0.6145515647561828
TARGET-10-PANEUH-09A-01R	0.41700696588831904	0.529687809078696	0.30954685572120755	0.6967187507959776	0.6447483009626672	0.46559456832960183
TARGET-10-PANFNZ-03A-01R	0.3965364993249612	0.5703676099865868	0.5937922118876199	0.6131826591205543	0.4833711126026722	0.47309119821133794
TARGET-10-PANGIF-03A-01R	0.33608196632840837	0.717957744087408	0.3801106405654768	0.6500954804190503	0.7857129585064777	0.6246446794556085
TARGET-10-PANIEU-03A-01R	0.3989929173862982	0.28779250796349143	0.43109696811877546	0.5292585890771534	0.3817539191652421	0.5219112268831124
TARGET-10-PANJPG-09A-01R	0.45385177418830186	0.42745101414105335	0.5160482611892216	0.5212203472839714	0.35146251221161445	0.5133136471990067
TARGET-10-PANJWJ-09A-01R	0.4138505914041196	0.48506265695511125	0.4400293329860391	0.6343964094747335	0.6337374868556643	0.4501629194913731
TARGET-10-PANKAK-04A-02R	0.31819426763267605	0.8365407661284059	0.44181469335103984	0.4230124140644559	0.2965774632845347	0.5174096547800296
TARGET-10-PANKAK-09A-01R	0.3543533274245641	0.607604147629805	0.4647805943991068	0.39297717565592566	0.3841199417933231	0.4456210283604196
TARGET-10-PANKDT-03A-01R	0.37363559860104667	0.47908556512155803	0.4719882503386578	0.6687253529299134	0.6521859689580348	0.4379673436516154
TARGET-10-PANKGK-09A-01R	0.33018287341286945	0.6947060929145036	0.5666782680088165	0.6457047140740899	0.2599016609190473	0.5774844366907318
TARGET-10-PANKMB-09A-02R	0.3413802962580928	0.3909020067811673	0.3634624654442403	0.29943671705387837	0.5733465771900002	0.3629631611835915
TARGET-10-PANKRG-03A-02R	0.3971547695894877	0.5523921890659744	0.4141542108534896	0.3637504432913469	0.578110633481487	0.5944104996137966
TARGET-10-PANLGK-03B-01R	0.3964497250036296	0.11830174915082407	0.4450011747187717	0.7602188981517609	0.5509180064363077	0.46677246888973983
TARGET-10-PANLIC-09A-01R	0.42161024287384574	0.41111191997363966	0.4150654188788961	0.4282067539858457	0.43308337260713065	0.5408405817677213
TARGET-10-PANPJI-09A-01R	0.44723479384048703	0.5249157798503559	0.5201150307093605	0.47024826127478864	0.530988148075045	0.42751524927454293
TARGET-10-PANRDC-03A-01R	0.42608884461391444	0.625352209145397	0.5237294258965618	0.5222922119725436	0.38586598167096126	0.527408892412848
TARGET-10-PANRWG-09A-01R	0.3866424004171561	0.47577907979677814	0.4788529326965989	0.3102137006901284	0.1971636201195676	0.4238022829471564
TARGET-10-PANRYM-09A-01R	0.3839534722032041	0.2837784223953814	0.4844213523054693	0.21566852655637275	0.36080176191354235	0.5267087400128139
TARGET-10-PANSBK-03B-01R	0.3610527397878363	0.47273205381750877	0.4439890806844652	0.7069490184300525	0.4824661144005042	0.5217553720766894
TARGET-10-PANSBR-09A-01R	0.3577946047372368	0.5225698029202708	0.4415073208815951	0.507738794639976	0.3516407193998212	0.40972457372426074
TARGET-10-PANSDA-04A-02R	0.5746470532047823	0.6575061568143776	0.4805037050053324	0.6228422746458888	0.41668726267839806	0.5521154027387055
TARGET-10-PANSDA-09A-02R	0.39925951196098647	0.3916401981339119	0.42916663985699366	0.5420746325892521	0.5711418370987872	0.5470212592287848
TARGET-10-PANSHK-04A-02R	0.3728010596118784	0.4417046591555082	0.38671871739166985	0.5614359985325337	0.46043334474066744	0.38714831092931595
TARGET-10-PANSHK-09A-01R	0.39164764445783623	0.3374678392605382	0.3186761923773818	0.4319100386943253	0.614563399258982	0.45338379760977876
TARGET-10-PANSIA-09A-02R	0.4130534918606015	0.4364978541115734	0.46444236381997694	0.6564111314260666	0.7009505263382634	0.4440601858266667
TARGET-10-PANSPW-09A-01R	0.37250873606112817	0.4979170482867999	0.45332961142141776	0.6075595243055352	0.38546673702143547	0.46811574311568827
TARGET-10-PANSUL-09A-01R	0.3416740031184343	0.6311661900653704	0.44998694402656947	0.7100490045065097	0.5671022434737014	0.3933962836467518
TARGET-10-PANSXG-09A-02R	0.36392604296054176	0.7120330137454463	0.5128738273249739	0.29610656988566986	0.26315166846438054	0.4109761927737603
