fpr	tpr	threshold	auroc	gene	shuffled
0.0	0.0	1.6409250670542699	0.6333333333333333	TP53	True
0.16666666666666666	0.0	0.64092506705427	0.6333333333333333	TP53	True
0.16666666666666666	0.2	0.6347250957427047	0.6333333333333333	TP53	True
0.16666666666666666	0.4	0.6097846658125298	0.6333333333333333	TP53	True
0.3333333333333333	0.4	0.5824582108015126	0.6333333333333333	TP53	True
0.5	0.4	0.568207340516975	0.6333333333333333	TP53	True
0.5	0.6	0.4587739385555404	0.6333333333333333	TP53	True
0.5	1.0	0.451777744488146	0.6333333333333333	TP53	True
0.5833333333333334	1.0	0.4499855994337918	0.6333333333333333	TP53	True
0.75	1.0	0.4190573033667064	0.6333333333333333	TP53	True
0.9166666666666666	1.0	0.353987266602794	0.6333333333333333	TP53	True
1.0	1.0	0.3322463646050621	0.6333333333333333	TP53	True
