Gene_symbol	current_dataset	previous_dataset
RNU6-824P	NA	All Cohorts
MIR8078	NA	All Cohorts
TRAJ27	NA	All Cohorts
IGLJ5	NA	All Cohorts
TRAJ36	NA	All Cohorts
SNORD114-2	NA	All Cohorts
RNU6-844P	NA	All Cohorts
TRAJ32	NA	All Cohorts
RNU6-969P	NA	All Cohorts
MIR3690	NA	All Cohorts
TRAJ21	NA	All Cohorts
IGHD1-1	NA	All Cohorts
SNORD115-45	NA	All Cohorts
SNORD59A	NA	All Cohorts
TRAJ18	NA	All Cohorts
MIR8085	NA	All Cohorts
MIR656	NA	All Cohorts
MIR6758	NA	All Cohorts
RNU6-1091P	NA	All Cohorts
MIR6819	NA	All Cohorts
MIR1234	NA	All Cohorts
TRAJ38	NA	All Cohorts
MIR4754	NA	All Cohorts
TRAJ41	NA	All Cohorts
IGHJ3P	NA	All Cohorts
MIR6721	NA	All Cohorts
TRAJ24	NA	All Cohorts
MIR6727	NA	All Cohorts
TRAJ16	NA	All Cohorts
RNY4P17	NA	All Cohorts
SNORD99	NA	All Cohorts
TRAJ58	NA	All Cohorts
RNY4P24	NA	All Cohorts
TRAJ11	NA	All Cohorts
RNU6-780P	NA	All Cohorts
SNORD69	NA	All Cohorts
MIR4506	NA	All Cohorts
RNU6-725P	NA	All Cohorts
MIR3138	NA	All Cohorts
MIR4420	NA	All Cohorts
MIR4746	NA	All Cohorts
RNU6-409P	NA	All Cohorts
MIR6071	NA	All Cohorts
MIR6845	NA	All Cohorts
TRAJ12	NA	All Cohorts
MIR6510	NA	All Cohorts
MIR6859-4	NA	All Cohorts
MIR4722	NA	All Cohorts
RNU6-911P	NA	All Cohorts
SNORD58A	NA	All Cohorts
MIR4786	NA	All Cohorts
RNU6-1043P	NA	All Cohorts
TRAJ35	NA	All Cohorts
MIR6757	NA	All Cohorts
IGHVIII-22-2	NA	All Cohorts
RNU6-1042P	NA	All Cohorts
RNU6-677P	NA	All Cohorts
MIR6850	NA	All Cohorts
RNA5SP124	NA	All Cohorts
MIR6726	NA	All Cohorts
RNU6-1333P	NA	All Cohorts
TRAJ7	NA	All Cohorts
RNU6-199P	NA	All Cohorts
MIR4677	NA	All Cohorts
MIR6772	NA	All Cohorts
MIR4538	NA	All Cohorts
MT1CP	NA	All Cohorts
MIR3149	NA	All Cohorts
MIR1909	NA	All Cohorts
MIR6756	NA	All Cohorts
SNORD27	NA	All Cohorts
RNU6-967P	NA	All Cohorts
RNA5SP247	NA	All Cohorts
RNU6-1215P	NA	All Cohorts
MIR150	NA	All Cohorts
SNORD30	NA	All Cohorts
RNU6-288P	NA	All Cohorts
AC062032.1	NA	All Cohorts
MIR548AR	NA	All Cohorts
MIR6867	NA	All Cohorts
MIR6751	NA	All Cohorts
MIR6848	NA	All Cohorts
MIR7108	NA	All Cohorts
SNORD2	NA	All Cohorts
RNU6-57P	NA	All Cohorts
TRAJ56	NA	All Cohorts
TRAJ50	NA	All Cohorts
MIR6895	NA	All Cohorts
RNU6-903P	NA	All Cohorts
TRBJ2-2P	NA	All Cohorts
RNU6-897P	NA	All Cohorts
IGHD6-25	NA	All Cohorts
MIR6875	NA	All Cohorts
SNORD50B	NA	All Cohorts
MIR4784	NA	All Cohorts
RNU6-308P	NA	All Cohorts
MIR6800	NA	All Cohorts
RNU6-1301P	NA	All Cohorts
MIR6088	NA	All Cohorts
MIR320C1	NA	All Cohorts
MIR6801	NA	All Cohorts
RNU6-160P	NA	All Cohorts
MIR7113	NA	All Cohorts
MIR6746	NA	All Cohorts
MIR7152	NA	All Cohorts
RNU6-1203P	NA	All Cohorts
MIR215	NA	All Cohorts
MIR4701	NA	All Cohorts
RNA5SP320	NA	All Cohorts
MIR331	NA	All Cohorts
MIR6730	NA	All Cohorts
MIR4723	NA	All Cohorts
RNU6-136P	NA	All Cohorts
RNU6-618P	NA	All Cohorts
RNA5SP258	NA	All Cohorts
MIR3153	NA	All Cohorts
MIR6808	NA	All Cohorts
MIR7703	NA	All Cohorts
MIR7109	NA	All Cohorts
MIR6509	NA	All Cohorts
IGHD1-20	NA	All Cohorts
MIR4730	NA	All Cohorts
MIR644A	NA	All Cohorts
MIR6069	NA	All Cohorts
MIR6791	NA	All Cohorts
SNORD101	NA	All Cohorts
RNU7-48P	NA	All Cohorts
RNU6-924P	NA	All Cohorts
SNORD6	NA	All Cohorts
MIR4690	NA	All Cohorts
MIR4728	NA	All Cohorts
RNU6-886P	NA	All Cohorts
MIR4672	NA	All Cohorts
MIR5692B	NA	All Cohorts
MIR548AN	NA	All Cohorts
MIR5707	NA	All Cohorts
AC007948.1	NA	All Cohorts
MIR375	NA	All Cohorts
MIR6777	NA	All Cohorts
MIR3677	NA	All Cohorts
MIR6748	NA	All Cohorts
RNU6-1318P	NA	All Cohorts
IGHVII-40-1	NA	All Cohorts
RNU6-19P	NA	All Cohorts
MIR4512	NA	All Cohorts
MIR452	NA	All Cohorts
MIR6750	NA	All Cohorts
RNU6-799P	NA	All Cohorts
RNA5SP277	NA	All Cohorts
RNU7-52P	NA	All Cohorts
MIR8089	NA	All Cohorts
MIR4489	NA	All Cohorts
MIR3972	NA	All Cohorts
MIR3177	NA	All Cohorts
MIR4666A	NA	All Cohorts
MIR5094	NA	All Cohorts
MIR320A	NA	All Cohorts
MIR4526	NA	All Cohorts
TRDJ3	NA	All Cohorts
MIR548L	NA	All Cohorts
MIR3117	NA	All Cohorts
MIR760	NA	All Cohorts
SNORD116-30	NA	All Cohorts
TRGJ2	NA	All Cohorts
MIR4436A	NA	All Cohorts
MIR4477B	NA	All Cohorts
CYP3A52P	NA	All Cohorts
MIR4292	NA	All Cohorts
MIR6784	NA	All Cohorts
RNY4P20	NA	All Cohorts
RNU6-151P	NA	All Cohorts
MIR8075	NA	All Cohorts
RNU6-422P	NA	All Cohorts
MIR6739	NA	All Cohorts
MIR4740	NA	All Cohorts
MIR6858	NA	All Cohorts
MIR4999	NA	All Cohorts
MIR4507	NA	All Cohorts
RNU6-550P	NA	All Cohorts
MIR7112	NA	All Cohorts
TRDJ2	NA	All Cohorts
RNU6-260P	NA	All Cohorts
IGHV1OR16-2	NA	All Cohorts
RNU6-110P	NA	All Cohorts
MIR4738	NA	All Cohorts
MIR1270	NA	All Cohorts
SNORD48	NA	All Cohorts
RNU6-145P	NA	All Cohorts
MIR1229	NA	All Cohorts
RNU6-854P	NA	All Cohorts
MIR4271	NA	All Cohorts
SNORD63	NA	All Cohorts
MIR9-3	NA	All Cohorts
MIR1179	NA	All Cohorts
IGKV2-38	NA	All Cohorts
snoMe28S-Am2634	NA	All Cohorts
SNORD93	NA	All Cohorts
MTRNR2L9	NA	All Cohorts
MIR5695	NA	All Cohorts
MIR6732	NA	All Cohorts
RNU7-13P	NA	All Cohorts
RNU6-135P	NA	All Cohorts
RNU6-339P	NA	All Cohorts
MIR6124	NA	All Cohorts
SPINT5P	NA	All Cohorts
MIR3680-1	NA	All Cohorts
MIR548AY	NA	All Cohorts
mascRNA-menRNA	NA	All Cohorts
MIR6859-1	NA	All Cohorts
RNU6-588P	NA	All Cohorts
MIR649	NA	All Cohorts
MIR6890	NA	All Cohorts
MIR6790	NA	All Cohorts
MIR6894	NA	All Cohorts
MIR6832	NA	All Cohorts
RNA5SP170	NA	All Cohorts
MIR138-2	NA	All Cohorts
RNU6-933P	NA	All Cohorts
MIR561	NA	All Cohorts
RNU6-726P	NA	All Cohorts
MIR580	NA	All Cohorts
MIR6798	NA	All Cohorts
MIR3161	NA	All Cohorts
MIR4772	NA	All Cohorts
MIR3685	NA	All Cohorts
MIR4744	NA	All Cohorts
SNORD84	NA	All Cohorts
MIR1226	NA	All Cohorts
MIR4745	NA	All Cohorts
RNU6-269P	NA	All Cohorts
MIR4783	NA	All Cohorts
MIR4530	NA	All Cohorts
MIR8076	NA	All Cohorts
RNU6-527P	NA	All Cohorts
RNU6-766P	NA	All Cohorts
RNU6-813P	NA	All Cohorts
MIR4312	NA	All Cohorts
RNU6-1190P	NA	All Cohorts
MIR4539	NA	All Cohorts
MIR23A	NA	All Cohorts
RNU6-724P	NA	All Cohorts
MIR491	NA	All Cohorts
RNU6-236P	NA	All Cohorts
MIR24-2	NA	All Cohorts
RNU6-1141P	NA	All Cohorts
RNU6-399P	NA	All Cohorts
RNU6-1169P	NA	All Cohorts
MIR7974	NA	All Cohorts
MIR6878	NA	All Cohorts
MIR4734	NA	All Cohorts
MIR6749	NA	All Cohorts
RNU4-90P	NA	All Cohorts
MIR6729	NA	All Cohorts
MIR4656	NA	All Cohorts
MIR6761	NA	All Cohorts
MIR4513	NA	All Cohorts
MIR548H1	NA	All Cohorts
MIR4502	NA	All Cohorts
MIR5787	NA	All Cohorts
SNORD123	NA	All Cohorts
RNU6-506P	NA	All Cohorts
RNU6-1205P	NA	All Cohorts
RNA5SP218	NA	All Cohorts
MIR2116	NA	All Cohorts
RNU6-542P	NA	All Cohorts
MIR563	NA	All Cohorts
RNA5SP35	NA	All Cohorts
RNU6-524P	NA	All Cohorts
MIR181B2	NA	All Cohorts
MIR208A	NA	All Cohorts
IGHD1-7	NA	All Cohorts
MIR6722	NA	All Cohorts
RNA5SP278	NA	All Cohorts
RNU6-158P	NA	All Cohorts
MIR6797	NA	All Cohorts
MIR587	NA	All Cohorts
RNU6-450P	NA	All Cohorts
RNU6-1289P	NA	All Cohorts
MIR6849	NA	All Cohorts
