Gene_symbol	current_dataset	previous_dataset
SNORA59A	PBTA	NA
OFD1P6Y	PBTA	NA
DDX11L9	PBTA	NA
SLCO1B3-SLCO1B7	PBTA	NA
CSPG4P12	PBTA	NA
ULK4P2	PBTA	NA
LINC00683	PBTA	NA
MTRNR2L12	PBTA	NA
BRI3BPP1	PBTA	NA
TBC1D3L	PBTA	NA
GOLGA6L10	PBTA	NA
PAUPAR	PBTA	NA
IQCJ-SCHIP1	PBTA	NA
OR11J1P	PBTA	NA
SMIM41	PBTA	NA
LINC02359	PBTA	NA
UPK3BL2	PBTA	NA
ARHGAP11B	PBTA	NA
OR4H6BP	PBTA	NA
PIGY-DT	PBTA	NA
OR4Q1P	PBTA	NA
RALY-AS1	PBTA	NA
OOSP3	PBTA	NA
DINOL	PBTA	NA
LINC00842	PBTA	NA
LINC02478	PBTA	NA
OR11J6P	PBTA	NA
GABPB1-IT1	PBTA	NA
TUSC2P2	PBTA	NA
TUSC2P1	PBTA	NA
RELA-DT	PBTA	NA
LINC02856	PBTA	NA
LINC02834	PBTA	NA
LINC02835	PBTA	NA
ANAPC1P2	PBTA	NA
GET1-SH3BGR	PBTA	NA
LINC02793	PBTA	NA
LINC02852	PBTA	NA
LINC02858	PBTA	NA
BMP8B-AS1	PBTA	NA
H2AL1SP	PBTA	NA
H2AQ1P	PBTA	NA
NBEAP6	PBTA	NA
SPDYE15	PBTA	NA
NOTCH2NLB	PBTA	NA
LINC02822	PBTA	NA
PCSEAT	PBTA	NA
SPDYE13	PBTA	NA
LCAL1	PBTA	NA
MAGEA6-DT	PBTA	NA
ASDURF	PBTA	NA
RCAN3AS	PBTA	NA
SPEGNB	PBTA	NA
GPC3-AS1	PBTA	NA
NOTCH2NLR	PBTA	NA
SPDYE14	PBTA	NA
DERPC	PBTA	NA
RNVU1-8	PBTA	NA
SPDYE11	PBTA	NA
ARMCX5-GPRASP2	PBTA	NA
PARTICL	PBTA	NA
LINC02348	PBTA	NA
SMIM40	PBTA	NA
MICB-DT	PBTA	NA
C2orf27A	PBTA	NA
THCAT155	PBTA	NA
FAM242B	PBTA	NA
FAM106C	PBTA	NA
TMX2-CTNND1	PBTA	NA
C3orf36	PBTA	NA
PDCD6-AHRR	PBTA	NA
LNCDAT	PBTA	NA
CDR1	PBTA	NA
RLN2	All Cohorts	NA
PRR4	All Cohorts	NA
BOLA2B	All Cohorts	NA
DEFB103A	All Cohorts	NA
DEFB4B	All Cohorts	NA
LGALS7B	All Cohorts	NA
SPDYE16	All Cohorts	NA
DEFB105B	All Cohorts	NA
GAGE2A	All Cohorts	NA
DEFB107B	All Cohorts	NA
SMN2	All Cohorts	NA
SERF1B	All Cohorts	NA
MEF2B	All Cohorts	NA
LINC00680	All Cohorts	NA
GAGE12G	All Cohorts	NA
LINC00598	All Cohorts	NA
GAGE12J	All Cohorts	NA
TSBP1-AS1	All Cohorts	NA
CT47A6	All Cohorts	NA
LINC00840	All Cohorts	NA
LINC01320	All Cohorts	NA
ARL17B	All Cohorts	NA
LINC00856	All Cohorts	NA
FAR2P4	All Cohorts	NA
LINC02802	All Cohorts	NA
LINC01725	All Cohorts	NA
CCDC144NL-AS1	All Cohorts	NA
USP17L4	All Cohorts	NA
GAGE12F	All Cohorts	NA
HLA-DQA2	All Cohorts	NA
SNORA59A	All Cohorts	NA
LASTR	All Cohorts	NA
OFD1P6Y	All Cohorts	NA
FOXL3	All Cohorts	NA
SLCO1B3-SLCO1B7	All Cohorts	NA
CSPG4P12	All Cohorts	NA
ULK4P2	All Cohorts	NA
LINC02210-CRHR1	All Cohorts	NA
LINC00683	All Cohorts	NA
SNHG22	All Cohorts	NA
LINC02073	All Cohorts	NA
MTRNR2L12	All Cohorts	NA
BRI3BPP1	All Cohorts	NA
TBC1D3L	All Cohorts	NA
GOLGA6L10	All Cohorts	NA
PAUPAR	All Cohorts	NA
IQCJ-SCHIP1	All Cohorts	NA
EEF1AKMT4	All Cohorts	NA
TBCE	All Cohorts	NA
OR11J1P	All Cohorts	NA
SMIM41	All Cohorts	NA
LINC02359	All Cohorts	NA
CCDC39	All Cohorts	NA
SEPT5-GP1BB	All Cohorts	NA
EEF1AKMT4-ECE2	All Cohorts	NA
UPK3BL2	All Cohorts	NA
SLC7A14-AS1	All Cohorts	NA
ARHGAP11B	All Cohorts	NA
OR4H6BP	All Cohorts	NA
PIGY-DT	All Cohorts	NA
OR4Q1P	All Cohorts	NA
RALY-AS1	All Cohorts	NA
OOSP3	All Cohorts	NA
DINOL	All Cohorts	NA
TFAP2A-AS2	All Cohorts	NA
ABCF2-H2BE1	All Cohorts	NA
LINC00842	All Cohorts	NA
LINC02478	All Cohorts	NA
OR11J6P	All Cohorts	NA
GABPB1-IT1	All Cohorts	NA
PDGFRL2P	All Cohorts	NA
SOD2-OT1	All Cohorts	NA
TUSC2P2	All Cohorts	NA
TUSC2P1	All Cohorts	NA
H2BE1	All Cohorts	NA
RELA-DT	All Cohorts	NA
LINC02838	All Cohorts	NA
LINC02856	All Cohorts	NA
LINC02834	All Cohorts	NA
LINC02835	All Cohorts	NA
LINC02717	All Cohorts	NA
LCEP3	All Cohorts	NA
LINC02849	All Cohorts	NA
ANAPC1P2	All Cohorts	NA
GET1-SH3BGR	All Cohorts	NA
LINC02793	All Cohorts	NA
LINC02852	All Cohorts	NA
LINC02858	All Cohorts	NA
MSANTD5	All Cohorts	NA
BMP8B-AS1	All Cohorts	NA
H2AL1SP	All Cohorts	NA
NIPBL-DT	All Cohorts	NA
CERNA2	All Cohorts	NA
H2AQ1P	All Cohorts	NA
NBEAP6	All Cohorts	NA
SPDYE15	All Cohorts	NA
NOTCH2NLB	All Cohorts	NA
LINC02822	All Cohorts	NA
PCSEAT	All Cohorts	NA
SPDYE13	All Cohorts	NA
LCAL1	All Cohorts	NA
MAGEA6-DT	All Cohorts	NA
ASDURF	All Cohorts	NA
RCAN3AS	All Cohorts	NA
SPEGNB	All Cohorts	NA
GPC3-AS1	All Cohorts	NA
NOTCH2NLR	All Cohorts	NA
SPDYE14	All Cohorts	NA
DERPC	All Cohorts	NA
RNVU1-8	All Cohorts	NA
NOTCH2NLC	All Cohorts	NA
SPDYE11	All Cohorts	NA
ARMCX5-GPRASP2	All Cohorts	NA
H3C2	All Cohorts	NA
PARTICL	All Cohorts	NA
PRSS43P	All Cohorts	NA
LINC02348	All Cohorts	NA
LINC01622	All Cohorts	NA
SMIM40	All Cohorts	NA
MICB-DT	All Cohorts	NA
H3C3	All Cohorts	NA
LINCADL	All Cohorts	NA
C2orf27A	All Cohorts	NA
THCAT155	All Cohorts	NA
PTCSC1	All Cohorts	NA
FAM242B	All Cohorts	NA
FAM106C	All Cohorts	NA
TMX2-CTNND1	All Cohorts	NA
C3orf36	All Cohorts	NA
DUS4L-BCAP29	All Cohorts	NA
C8orf44	All Cohorts	NA
C8orf44-SGK3	All Cohorts	NA
SNORA74C-2	All Cohorts	NA
NPBWR1	All Cohorts	NA
PDCD6-AHRR	All Cohorts	NA
LNCDAT	All Cohorts	NA
CDR1	All Cohorts	NA
DDX11L10	All Cohorts	NA
DDX11L9	All Cohorts	NA
DDX11L10	TARGET	NA
RLN2	GMKF	NA
PRR4	GMKF	NA
LGALS7B	GMKF	NA
