Gene_Ensembl_ID	current_dataset	previous_dataset
ENSG00000202093	NA	All Cohorts
ENSG00000211859	NA	All Cohorts
ENSG00000211842	NA	All Cohorts
ENSG00000211858	NA	All Cohorts
ENSG00000211837	NA	All Cohorts
ENSG00000221410	NA	All Cohorts
ENSG00000211872	NA	All Cohorts
ENSG00000207611	NA	All Cohorts
ENSG00000228131	NA	All Cohorts
ENSG00000211863	NA	All Cohorts
ENSG00000237547	NA	All Cohorts
ENSG00000211834	NA	All Cohorts
ENSG00000276712	NA	All Cohorts
ENSG00000211845	NA	All Cohorts
ENSG00000212457	NA	All Cohorts
ENSG00000211860	NA	All Cohorts
ENSG00000211836	NA	All Cohorts
ENSG00000257264	NA	All Cohorts
ENSG00000284305	NA	All Cohorts
ENSG00000264781	NA	All Cohorts
ENSG00000202031	NA	All Cohorts
ENSG00000211861	NA	All Cohorts
ENSG00000265954	NA	All Cohorts
ENSG00000207789	NA	All Cohorts
ENSG00000284064	NA	All Cohorts
ENSG00000211881	NA	All Cohorts
ENSG00000207355	NA	All Cohorts
ENSG00000211884	NA	All Cohorts
ENSG00000258354	NA	All Cohorts
ENSG00000265537	NA	All Cohorts
ENSG00000200594	NA	All Cohorts
ENSG00000277521	NA	All Cohorts
ENSG00000211862	NA	All Cohorts
ENSG00000211681	NA	All Cohorts
ENSG00000276699	NA	All Cohorts
ENSG00000200823	NA	All Cohorts
ENSG00000252984	NA	All Cohorts
ENSG00000211857	NA	All Cohorts
ENSG00000206627	NA	All Cohorts
ENSG00000265658	NA	All Cohorts
ENSG00000211868	NA	All Cohorts
ENSG00000236170	NA	All Cohorts
ENSG00000212380	NA	All Cohorts
ENSG00000207031	NA	All Cohorts
ENSG00000211871	NA	All Cohorts
ENSG00000284258	NA	All Cohorts
ENSG00000207959	NA	All Cohorts
ENSG00000284152	NA	All Cohorts
ENSG00000200815	NA	All Cohorts
ENSG00000278420	NA	All Cohorts
ENSG00000284139	NA	All Cohorts
ENSG00000211851	NA	All Cohorts
ENSG00000266640	NA	All Cohorts
ENSG00000211848	NA	All Cohorts
ENSG00000237111	NA	All Cohorts
ENSG00000284469	NA	All Cohorts
ENSG00000211865	NA	All Cohorts
ENSG00000283712	NA	All Cohorts
ENSG00000211873	NA	All Cohorts
ENSG00000201818	NA	All Cohorts
ENSG00000221539	NA	All Cohorts
ENSG00000211833	NA	All Cohorts
ENSG00000199605	NA	All Cohorts
ENSG00000211878	NA	All Cohorts
ENSG00000212332	NA	All Cohorts
ENSG00000212452	NA	All Cohorts
ENSG00000265768	NA	All Cohorts
ENSG00000252371	NA	All Cohorts
ENSG00000264931	NA	All Cohorts
ENSG00000264773	NA	All Cohorts
ENSG00000266437	NA	All Cohorts
