statistic	p.value	parameter	method	k
3342.024053560858	1	16065	Chi-squared test for given probabilities	1
4128.832273541874	1	16065	Chi-squared test for given probabilities	2
3429.87073221551	1	16065	Chi-squared test for given probabilities	3
3645.7897811308885	1	16065	Chi-squared test for given probabilities	4
3354.4129007492397	1	16065	Chi-squared test for given probabilities	5
