statistic	p.value	parameter	method	k
8933.83949806244	1	16065	Chi-squared test for given probabilities	1
8254.655780106536	1	16065	Chi-squared test for given probabilities	2
8769.163342754306	1	16065	Chi-squared test for given probabilities	3
8451.870793454382	1	16065	Chi-squared test for given probabilities	4
8334.576853664856	1	16065	Chi-squared test for given probabilities	5
