statistic	p.value	method	alternative	k
1	0	One-sample Kolmogorov-Smirnov test	two-sided	1
1	0	One-sample Kolmogorov-Smirnov test	two-sided	2
0.9999999999939561	0	One-sample Kolmogorov-Smirnov test	two-sided	3
0.9999834427303926	0	One-sample Kolmogorov-Smirnov test	two-sided	4
1	0	One-sample Kolmogorov-Smirnov test	two-sided	5
