gene
PRSS2
PRSS1
LILRA6
RPS9
LILRB3
CCDC144NL-AS1
MAP2K3
SPECC1
AKAP10
ALDH3A1
ALDH3A2
B9D1
CCDC144NL
EPN2
EPN2-AS1
MAPK7
MFAP4
MIR1180
RNF112
SLC47A1
SLC47A2
SNORA59B
ULK2
USP22
