statistic	p.value	method	alternative	k
0.22712170904401896	0	One-sample Kolmogorov-Smirnov test	two-sided	1
0.25733753982728025	0	One-sample Kolmogorov-Smirnov test	two-sided	2
0.2321112605814954	0	One-sample Kolmogorov-Smirnov test	two-sided	3
0.24619273583173562	0	One-sample Kolmogorov-Smirnov test	two-sided	4
0.18395543887161844	0	One-sample Kolmogorov-Smirnov test	two-sided	5
