statistic	p.value	parameter	method	k
561.1669792376554	1	2132	Chi-squared test for given probabilities	1
588.6560055588478	1	2132	Chi-squared test for given probabilities	2
571.2431739794437	1	2132	Chi-squared test for given probabilities	3
568.6500275288423	1	2132	Chi-squared test for given probabilities	4
538.0635655247428	1	2132	Chi-squared test for given probabilities	5
