Gene	broad_histology	count
MRM2	Hematologic malignancy	6
MTA1	Hematologic malignancy	10
MYH11	Hematologic malignancy	28
MYO18B	Hematologic malignancy	6
N4BP2L1	Hematologic malignancy	4
NACC2	Hematologic malignancy	4
NBAS	Embryonal tumor	9
NCOR2	Hematologic malignancy	46
NFAT5	Hematologic malignancy	4
NFATC1	Hematologic malignancy	59
NFIC	Hematologic malignancy	5
NFKBIA	Hematologic malignancy	4
NOL4L	Hematologic malignancy	21
NOTCH1	Hematologic malignancy	23
NPM1	Hematologic malignancy	4
NR4A1	Hematologic malignancy	20
NSD1	Hematologic malignancy	7
NTRK2	Low-grade astrocytic tumor	5
NUP214	Hematologic malignancy	12
NUP98	Hematologic malignancy	22
OAZ1	Hematologic malignancy	72
OSBPL5	Hematologic malignancy	13
PAX5	Hematologic malignancy	27
PBX1	Hematologic malignancy	21
PDCD6	Hematologic malignancy	4
PDF	Hematologic malignancy	5
PDGFA	Hematologic malignancy	13
PER1	Hematologic malignancy	23
PFKL	Hematologic malignancy	17
PHACTR3	Hematologic malignancy	10
PIAS1	Hematologic malignancy	4
PICALM	Hematologic malignancy	12
PIM3	Hematologic malignancy	59
PLEC	Hematologic malignancy	7
PLEKHO1	Hematologic malignancy	11
PLXNB2	Hematologic malignancy	7
PMEPA1	Hematologic malignancy	14
PNRC1	Hematologic malignancy	10
PPP1R37	Hematologic malignancy	7
PPP4R3B	Hematologic malignancy	6
PPP6R2	Hematologic malignancy	9
PPRC1	Hematologic malignancy	5
PQLC1	Hematologic malignancy	75
PRDM16	Hematologic malignancy	5
PTBP1	Hematologic malignancy	103
PTDSS2	Hematologic malignancy	4
PTMA	Hematologic malignancy	104
PTPN2	Hematologic malignancy	4
PTTG1IP	Hematologic malignancy	8
RAB35	Hematologic malignancy	4
RAF1	Low-grade astrocytic tumor	4
RALGDS	Hematologic malignancy	23
RANBP2	Hematologic malignancy	4
RASA3	Hematologic malignancy	14
RASSF1	Hematologic malignancy	6
RBBP6	Hematologic malignancy	5
RBM14	Hematologic malignancy	4
RBM38	Hematologic malignancy	62
RELA	Ependymal tumor	25
RER1	Hematologic malignancy	5
REV3L	Diffuse astrocytic and oligodendroglial tumor	5
REXO1	Hematologic malignancy	13
RNF126	Hematologic malignancy	86
RNF168	Hematologic malignancy	6
RNF220	Hematologic malignancy	4
RNH1	Hematologic malignancy	5
ROS1	Diffuse astrocytic and oligodendroglial tumor	4
RPS15	Hematologic malignancy	40
RUNX1	Hematologic malignancy	53
RUNX1T1	Hematologic malignancy	27
RXRA	Hematologic malignancy	10
SAP25	Hematologic malignancy	20
SARAF	Hematologic malignancy	5
SBF1	Hematologic malignancy	16
SBNO2	Hematologic malignancy	22
SCFD2	Diffuse astrocytic and oligodendroglial tumor	4
SEC24B	Hematologic malignancy	5
SELENOO	Hematologic malignancy	6
SENP3-EIF4A1	Hematologic malignancy	29
SEPT9	Hematologic malignancy	23
SET	Hematologic malignancy	4
SF1	Hematologic malignancy	5
SFPQ	Hematologic malignancy	4
SH3TC1	Hematologic malignancy	5
SHANK3	Hematologic malignancy	6
SKI	Hematologic malignancy	18
SLC12A7	Hematologic malignancy	16
SLC19A1	Hematologic malignancy	9
SLC7A5	Hematologic malignancy	154
SMARCA2	Hematologic malignancy	5
SMG6	Hematologic malignancy	4
SOCS2	Hematologic malignancy	4
SON	Hematologic malignancy	4
SRSF4	Hematologic malignancy	6
SS18L1	Hematologic malignancy	5
SSBP2	Hematologic malignancy	7
STK11	Hematologic malignancy	7
STK24	Hematologic malignancy	9
STK32C	Hematologic malignancy	6
SUMO3	Hematologic malignancy	40
SUN1	Hematologic malignancy	11
