sample_group	included_one_or_more_cohorts	n_samples	Kids_First_Biospecimen_IDs
Diffuse intrinsic pontine glioma___all_cohorts	PBTA_4_samples	4	BS_B1C6GZ84,BS_FXJY0MNH,BS_30VC3R2Q,BS_W4DB5RP1
Diffuse midline glioma___all_cohorts	PBTA_59_samples	59	BS_C83TK159,BS_BMMY0H73,BS_8ZY4GST0,BS_FCDAH728,BS_EZ3147MX,BS_GWSJ4Z9H,BS_GW0GKWMS,BS_G3NN392N,BS_2JP7RBMB,BS_2A5R9MEJ,BS_0VXZCRJS,BS_0ZA67BBC,BS_6WP1FHTE,BS_68KX6A42,BS_6M2053M0,BS_4QW2S1Q8,BS_51RA1PGE,BS_49CJNZ06,BS_4B0BAVTX,BS_5VPM0F36,BS_5965SFPZ,BS_VF5XWFXD,BS_X4DD4KSZ,BS_T3DGY9J9,BS_XGDPK33A,BS_4KNBXM3C,BS_4C6B11E4,BS_3ZPJAK9A,BS_2HNXVFAS,BS_2853394H,BS_9FX3YREK,BS_ZVWE73JZ,BS_B57327NA,BS_TR2P8KRF,BS_PJC6FH4Y,BS_VKYEM67A,BS_E7NVYA6G,BS_CZPQ493E,BS_YDEVMD24,BS_XM1AHBDJ,BS_XZM79E42,BS_ZF6BSFNF,BS_XG0DBWVT,BS_Z3RCA1T9,BS_KABQQA0T,BS_MDBT7S5Z,BS_MB7WN0ZB,BS_H97S5SQN,BS_JQVAWTTM,BS_JB43XBCQ,BS_QNNX91SM,BS_RXN5T5YT,BS_RX1YTZ7F,BS_R9B92M75,BS_NGSG2KB6,BS_NEVYM2FP,BS_NR3P3GN2,BS_NB9XXBW6,BS_MWWZBQ60
Dysembryoplastic neuroepithelial tumor___all_cohorts	PBTA_19_samples	19	BS_AJ6X83G5,BS_FWMJPKCV,BS_CREQ97QC,BS_CQSAJ7BF,BS_CZ82ANWP,BS_264RCK7G,BS_273HKCT4,BS_3T6X4BPC,BS_6MY8W3H0,BS_W7FP2G3F,BS_VTJ9ESSV,BS_SM8VQFPD,BS_TDEFAPNH,BS_ZR96A4FH,BS_YNEQJ6AH,BS_KM2EX0K6,BS_KQ6ZW085,BS_KZPR01BD,BS_JXNZYGCR
Embryonal tumor with multilayer rosettes___all_cohorts	PBTA_4_samples	4	BS_37GTVG4N,BS_0HW7W7SD,BS_685DACMS,BS_QWNBZ9RJ
Ependymoma___all_cohorts	PBTA_69_samples	69	BS_AGTPCRR4,BS_C80S5N37,BS_BJDNWMJH,BS_C05FKR8X,BS_8RHPJ740,BS_8ZP3CBQA,BS_FTKPQ5FZ,BS_EVCAC3NH,BS_GV3NZ9QD,BS_G23JJAZY,BS_CZ3NA7KV,BS_CZ3ER8DY,BS_CXVJK2FY,BS_EK5PCKY0,BS_EMYET8F4,BS_E4F1D721,BS_3X9WMZGJ,BS_34201DKZ,BS_3F4FQJMR,BS_0QYS36NR,BS_0XEG6SNV,BS_0BXY0F9N,BS_07ANYSYQ,BS_196BBNEJ,BS_74G5K7JF,BS_6H1C1ME9,BS_7G42J2SK,BS_7BTZQKYY,BS_4T0HPZDC,BS_4SCWT0FX,BS_4NWHYH53,BS_4FZS7TX4,BS_W80TJC27,BS_VJ2S5DVS,BS_WYERXS4G,BS_X67GTEM6,BS_WFD0GE5X,BS_WRHDP7WF,BS_T1DVKKJB,BS_SAA624A4,BS_T4P3J13C,BS_SDCNP7MW,BS_TXY8QYWA,BS_V4W81SFC,BS_XF0ZX2B3,BS_TBWYAFSM,BS_TNRHHYNC,BS_XQYHPBFS,BS_KDSTG5YY,BS_KXMYBQ6N,BS_KBT7MQ6H,BS_MT15SGJN,BS_MA2T7ET1,BS_H4NXBD2D,BS_J8VX4D17,BS_JHGW42S6,BS_QP6MSKRE,BS_QXKRN6CR,BS_Q5WZYWCT,BS_RHD7XPNP,BS_RGPSEMHC,BS_RCFQ31XF,BS_NGHK9RZP,BS_N8J1DP02,BS_N5DVEJXT,BS_PJPGVD62,BS_PSW27ZTE,BS_PRAEF32W,BS_P78SMRBS
Ewing sarcoma___all_cohorts	PBTA_8_samples	8	BS_8S86CM61,BS_DBEX7AG2,BS_0448A413,BS_1N9XZXGE,BS_WJGFDRWK,BS_XZTV0J8W,BS_JFEZA9KE,BS_R4Y180DM
Ganglioglioma___all_cohorts	PBTA_36_samples	36	BS_B7X8VXQ3,BS_AKRHBPNZ,BS_AD4JPN9Q,BS_F4E8R9VY,BS_FAQQ0GCQ,BS_GTZCFGRZ,BS_DMZP9G1H,BS_ERJAJ0KA,BS_23W9EPFE,BS_27QE6BV7,BS_2AR3AP0N,BS_3PYESPHA,BS_3XY76V8T,BS_1NPD7PVG,BS_699TN5RN,BS_6NTXGQAC,BS_77CDMEY4,BS_7N0B2CY1,BS_55JW3HFM,BS_478TN841,BS_680K119G,BS_593HEWBF,BS_5JM573JC,BS_VMMJYN8Z,BS_WRQHPSXQ,BS_TG93XC55,BS_KPT2WPHW,BS_KVV7001W,BS_MF47B9ZW,BS_M4NVX721,BS_QV51J756,BS_QF5VVZX5,BS_RGSMX7QD,BS_RVSEDNJ4,BS_NT9NZYFD,BS_PQ7CQFYR
Germinoma___all_cohorts	PBTA_4_samples	4	BS_742RHK1M,BS_6HTK4YJP,BS_VXHWZJDC,BS_WSQMAA33
Glial-neuronal tumor NOS___all_cohorts	PBTA_6_samples	6	BS_ARFQ1WG3,BS_5PEFNDCY,BS_X9EGD530,BS_Z1A875MW,BS_KVAJYZ6F,BS_QB7YGKN1
High-grade glioma/astrocytoma___all_cohorts	PBTA_79_samples	79	BS_AWH9757B,BS_C41DJZ1F,BS_BYCX6VK1,BS_8PNA0V6R,BS_9XVACXP0,BS_FEV5A0HN,BS_FN07P04C,BS_F0JB4EAK,BS_GG9W3J9Y,BS_FYRDYBMZ,BS_FX2P2WEG,BS_DS438CXE,BS_2EN3X6HB,BS_29X4ZX6Q,BS_3MS8WVNR,BS_399RPKC9,BS_3AC3SRWH,BS_052PZFMK,BS_0C7VZC0A,BS_45J79YTF,BS_7327SDAQ,BS_84XCR9GG,BS_4PWDGEB0,BS_52MPKTJH,BS_52C576HH,BS_5P1TN10Z,BS_PQVTB6BB,BS_W9N9844Q,BS_W7MFJZ5A,BS_X4X1SFSE,BS_SNVM7CZT,BS_SD8YBRBR,BS_SHJA4MR0,BS_TXZ7KHTQ,BS_V3Z3DB4N,BS_TGS109T3,BS_9TXEDSWB,BS_8ZE4Z9G5,BS_00FD2KMP,BS_B4R7X1KE,BS_TVH33J9Q,BS_T9A8JJW5,BS_SY3J3XR9,BS_RJC3WDD6,BS_YA0KMBRT,BS_WQ1YRTAT,BS_WBVSK3MP,BS_MG78HQDM,BS_G5NHSFD4,BS_FKASA3MN,BS_F9Y4Z92G,BS_F21R36MM,BS_ECNBQ2RA,BS_D6J2BGDJ,BS_H9JYKFTV,BS_MD0937XT,BS_M0XGZ53Z,BS_KRS4EV4X,BS_KKDTW11T,BS_JTWNJ8T7,BS_JQXHHK0K,BS_JJVH7WR0,BS_J9CBGP57,BS_HRJ9145M,BS_YEW22W35,BS_Z8YZ6QGS,BS_Z8F3GM85,BS_ZD5HN296,BS_KP735TJ6,BS_KBEX4RT2,BS_M0QYNVK8,BS_K17VQECG,BS_HE0WJRW6,BS_JVW2JJ39,BS_R5SNFB5B,BS_R7NTZR4C,BS_NPA6CZQF,BS_PXCPK5XS,BS_PS0P3QJ3
Langerhans Cell histiocytosis___all_cohorts	PBTA_4_samples	4	BS_9E7YVFJM,BS_0SPCTBZY,BS_MGAMKKBD,BS_JWCX8R17
Low-grade glioma/astrocytoma___all_cohorts	PBTA_197_samples	197	BS_B3M5SGPA,BS_B0SVFK4P,BS_B7GEH89C,BS_B6M763JS,BS_AG3D3435,BS_AVYNZHSB,BS_ARBQDTT5,BS_AP0SZ364,BS_C7A2TYAC,BS_C51RB0YR,BS_CGB2WS2A,BS_CB6VK7PB,BS_BN986DF6,BS_BKQZ550R,BS_BC936YNZ,BS_BPSTSCBJ,BS_94MT16N2,BS_9BJARSX3,BS_9755PSCS,BS_8J3B6ZB6,BS_8Z3SCKB5,BS_8VAZSJEN,BS_A46RDWGM,BS_A1VEGWTR,BS_A13BMEF5,BS_9F09XV62,BS_9SJWWYQ4,BS_9RT63JD9,BS_9Q6Z6VJC,BS_9P9MB8X8,BS_FJWZ3M7V,BS_EYYMKWB7,BS_EYSS0ZDS,BS_EXYHZ6D4,BS_F8N6CFQE,BS_GHNJ4CYC,BS_GPEGRCCT,BS_GR46VD0Q,BS_G5QBBHDV,BS_GCA4GET3,BS_G7AGNB5G,BS_DEHJF4C7,BS_D3YBV7KB,BS_CVGFNCBJ,BS_CTR5X93B,BS_EHVYJAVA,BS_EFEZB0ZH,BS_EBMCTR80,BS_ET8CJXSF,BS_DV86M0Y7,BS_DSS3S5XD,BS_DPF1CX0G,BS_E4QK839R,BS_E3EJHXQV,BS_E1CGF3KV,BS_2R9TCR03,BS_2KJ2YAZR,BS_2YCJV2VV,BS_2WPQ8YCW,BS_2EMW8ZG3,BS_25T139TX,BS_258RRGDM,BS_24AHZ9ZW,BS_21RE8W46,BS_3W07B2TG,BS_3Q0GTSYH,BS_3P20Q2C3,BS_42Y3YANN,BS_42DY6WS7,BS_401R3KV0,BS_3G3KWY18,BS_1ZVXF5FE,BS_0SCXXM6N,BS_0J9SHHSC,BS_0T17SY47,BS_0Y66ZBWE,BS_0X9EGHY2,BS_0WVJYM9R,BS_014EVM2D,BS_063ERW0R,BS_1JDG6JV5,BS_1G3WYEN3,BS_17WYVEEC,BS_6N3AFF66,BS_775HDFNY,BS_68BW2163,BS_7H4RFCW9,BS_7XRN3CFX,BS_7Z93ZYMS,BS_7P83Z28P,BS_4Y6BCYK5,BS_4Z2F4P9N,BS_53GQKVEX,BS_52DAPP1Y,BS_52426AMF,BS_4NF35AF6,BS_4A45GGSW,BS_49852ZBH,BS_470DYRJQ,BS_4BWB0FA0,BS_4C4MZ4NT,BS_4HQ3T2NC,BS_4EN8D8Y4,BS_55P8HPYD,BS_5YJEPPTP,BS_66HQ3E4Z,BS_66ABA973,BS_5PV5N4HQ,BS_5NWDARXG,BS_GYXSDZ56,BS_W4HGV6E7,BS_VP3C8WZT,BS_X59HSFGG,BS_X0F9AYEC,BS_X91K8KMG,BS_WCRKYV0T,BS_SXRS2P6T,BS_T4JFN54G,BS_T3H5AY8A,BS_T2QPMZCM,BS_T1W4JA94,BS_T0RKFEKR,BS_S7CZY2CH,BS_SHMC4902,BS_SFKZSJN1,BS_SDZY6RZ3,BS_SDA4RMMG,BS_T55Y4Z0Y,BS_V89HGTET,BS_V72GX2AZ,BS_ZTWGFWTX,BS_ZRM0W01M,BS_ZZMYDZJW,BS_ZVZDDW2G,BS_ZVX2GRD6,BS_Y7F9E2E9,BS_YG0A13JH,BS_YEQVW4ND,BS_YCREDZTJ,BS_Y0PCBNJV,BS_XKKB4MZV,BS_XGSA3GQE,BS_Z7Y2466H,BS_Z6BWR941,BS_YVMEEBKC,BS_Z0AVVB1V,BS_YZ2Z1Q6Y,BS_YY5B2XDD,BS_S50KQEXV,BS_K7MVS0Z7,BS_K5802F84,BS_KEA474HN,BS_MF9X3PKH,BS_ME3HKN2C,BS_MBSTWZA6,BS_M8WP5T16,BS_M8M56Z4Y,BS_M4TTKPNR,BS_HV8PFRBR,BS_HSHN8PBB,BS_HQ5BJ6MW,BS_HX0S30NE,BS_H3FE3TH9,BS_H8A9PSYA,BS_HC5M8JTC,BS_J6VKB1VE,BS_JMHG7GCN,BS_JKXA3FQC,BS_JVA2NQFF,BS_JWSR581E,BS_JH29M4KG,BS_JG9JZTA9,BS_QTSXW7DA,BS_QH82PBMB,BS_Q79NP5YY,BS_Q3TBCK4V,BS_QC3XCE6X,BS_RRAEQZ97,BS_RWJZFTP9,BS_S1KK7XRH,BS_R244Z0WX,BS_R13X6TMW,BS_R634WKN7,BS_NS7GSHB9,BS_NRFQEQKP,BS_NQB91P48,BS_NPQJ20KX,BS_N210XMKR,BS_N1E0H8YQ,BS_MY9D8XZ1,BS_NB5XWMJT,BS_N6NE6B3W,BS_N5B2CZMH,BS_PN2CE34A,BS_PEP9NZXN,BS_NYS8TRCB,BS_X16PENSA
Medulloblastoma___all_cohorts	PBTA_105_samples	105	BS_BA6AZWB3,BS_AHEFXG7W,BS_AM70R8RG,BS_AMZ70B6F,BS_CHDGRYHJ,BS_BPWEFR89,BS_BVSW4GTG,BS_BSV07M7Z,BS_8T7DZV2F,BS_A14Z8BBK,BS_A87NPZAP,BS_9V633J1X,BS_9NZ2D6AD,BS_9NJHQE9F,BS_9M5XJ10G,BS_9PB3XH5D,BS_FKDQJJB5,BS_GNV89A5P,BS_G00FHF3Q,BS_DFWFBYSN,BS_D144EJRQ,BS_EFE4YEK3,BS_ERWT0ZWE,BS_E3BAT4C1,BS_2SFTWNVE,BS_2Z1MKS84,BS_3NWQXPQV,BS_3MYEMXPQ,BS_44A3ES23,BS_3F5PR9GS,BS_1TWCV047,BS_1AYRM596,BS_1BWP5MCT,BS_77317DY4,BS_81SP2HX4,BS_7FWZ518S,BS_7C40TRCY,BS_7XQRH69M,BS_4W68NV3M,BS_4PH1MBGR,BS_4CP4T22V,BS_4D9DD103,BS_5VQP0E6K,BS_61E80SD6,BS_5PJCHF6V,BS_W311713R,BS_W9AT0MR7,BS_VMEX27TN,BS_VJVDJABP,BS_VVFBW0YH,BS_VT6C6N6K,BS_VPBMDMQX,BS_WH5HDE0A,BS_VA5T4KAA,BS_SKGJ5SY9,BS_TYAYZ9ZW,BS_TW8DQH8J,BS_TZVFR600,BS_V9HVBBDW,BS_V72H4RQS,BS_TA9WP4TH,BS_TE0GVDNG,BS_ZV68CES9,BS_ZXYDSBM9,BS_YETBN0RQ,BS_YEB88D32,BS_Z7PKVY9J,BS_Z45HD492,BS_KN92S7YQ,BS_KVNGNETA,BS_K74PZET7,BS_K3ER45RV,BS_K81DR8XG,BS_M15PW2N0,BS_KYF0Q0E7,BS_M84H3KXA,BS_HTEPAKCM,BS_HKZENFDA,BS_J1AB8PMA,BS_HZRM07TW,BS_HZE3KYZ1,BS_H4B5Y6S0,BS_HHPA8NJ2,BS_HF3RNN2T,BS_HE57E1RP,BS_HD4EJYE3,BS_HB03GSHF,BS_JZRM1S3T,BS_JTMXAMB7,BS_JT82QGXF,BS_J8G4SH4Z,BS_J71N7D09,BS_JFB984RG,BS_QRDT19KS,BS_QPPPGYP4,BS_RSRPX3S8,BS_S1M423AB,BS_RD4D5F9F,BS_R439VVPK,BS_R6WNEEE4,BS_RCC8BXVE,BS_NKRYMHEP,BS_NKEAAFMW,BS_N4B1SZZH,BS_NZ71XCG3
Meningioma___all_cohorts	PBTA_14_samples	14	BS_E2Z940S4,BS_23M72ABG,BS_398KYV92,BS_3DCBDJAT,BS_6YMJ621P,BS_70FFPA51,BS_5AF6ZNJF,BS_THSPSG2Z,BS_K2FHZGTK,BS_KF0ZXDER,BS_M026T44Q,BS_JGPR9SR2,BS_QW60M0FE,BS_Q2T9ZRM0
Metastatic secondary tumors___all_cohorts	PBTA_3_samples	3	BS_XBQZYS8G,BS_QNAQGAV6,BS_NJ4WPQVK
Neuroblastoma___all_cohorts	GMKF_203_samples&TARGET_144_samples	347	BS_WHBM0N3Y,BS_EE5Z0Z4J,BS_RZEEJETF,BS_135GYQQD,BS_VNKT3ZZS,BS_YG0W2BBN,BS_5Y7PNW71,BS_SZ3EJPGV,BS_HBMHZEGZ,BS_70H191SN,BS_ZKQXXTG9,BS_KG9X0NFD,BS_EMBK3HHP,BS_QM9CBE54,BS_KHW6ASK4,BS_6DXDS5EE,BS_KV05J5BX,BS_R232Y3SW,BS_82Q78622,BS_FJAQ3KAX,BS_8EG9GQZS,BS_PRF6XPXV,BS_NZDEF29S,BS_323GG6M7,BS_48YZKWC2,BS_5Y98E084,BS_MBNSCVMH,BS_NC4PWRVP,BS_2RFA5NWH,BS_XME1VS17,BS_591ZWG14,BS_TT20NP68,BS_TGDZ491N,BS_GR7694W1,BS_896YFFGE,BS_GB1XPW06,BS_KF4AR0FG,BS_T7MWWC0A,BS_QCDCAX7G,BS_FC37XAZK,BS_YBD5FS1Q,BS_VR7XMQZ3,BS_B2BWSTJV,BS_ZGKT8MMX,BS_H9BW7Y9C,BS_CCV91DR0,BS_WKVJJF3F,BS_YA56YE71,BS_CN3256VE,BS_63ACHY8K,BS_94JMQ7MX,BS_X3F8NMS4,BS_ZFJS669M,BS_H4TFY19Z,BS_02X4QTNE,BS_P10Y42BX,BS_VV8GRGZ6,BS_STTGK8V4,BS_J9EH31NM,BS_K59AGJKW,BS_FXDGYFBR,BS_78A01TS9,BS_SM1QE9FJ,BS_HEJAPS03,BS_YMWFA93F,BS_0JBZPAGN,BS_S4WH99C9,BS_DHWN3X5S,BS_BW9QBKEQ,BS_0D3SCV7P,BS_8MYS5HP4,BS_6YYC47K2,BS_MEN59ZX5,BS_HHNQ3N2V,BS_8V59CEJJ,BS_0YPDAAE8,BS_83RF7CY6,BS_Z36F6GKX,BS_A9FNKG9K,BS_8GD69HHF,BS_NPG879ST,BS_10MQQC5C,BS_HP8EEDS6,BS_NKGRBE18,BS_KBXSSXWF,BS_DHXNWXP6,BS_C84NQED0,BS_AND83V3S,BS_NN42N0XB,BS_3D1XTG0K,BS_WFCVBVDS,BS_WKC3GR0D,BS_DERH44Z2,BS_NJSZSZX5,BS_8NQWYZHR,BS_AYDD070S,BS_S0SM38BZ,BS_S32M2YTY,BS_MG1N76FY,BS_MH01GQ2B,BS_E359X3QV,BS_KYGRX01W,BS_QJ3XB7XZ,BS_F2F7BXT5,BS_JFJYEHFM,BS_MY7JYHVH,BS_Y2DSNJ1E,BS_9BYP1GZS,BS_ETC8R0TD,BS_NR090DDV,BS_2480EHNY,BS_8EX2H96N,BS_JBKQ59CW,BS_CZMY8CVE,BS_3GRJH3PS,BS_XFFQR05Z,BS_4A1CKAXN,BS_YF5NCTGA,BS_BBD7XS5N,BS_JWXQFZY9,BS_MYNJDVWV,BS_3DJBSNGE,BS_NQP7B1SY,BS_GTFHNG3R,BS_F9ZXCH60,BS_5W25GMQ1,BS_M462FWS9,BS_Z3BZ01S1,BS_FRY5NFRY,BS_XPTREBJD,BS_HEKMP7BH,BS_CXGWN1W5,BS_EPZ2H50J,BS_CD6WEHG9,BS_XZQE9FBM,BS_9JBYGRQW,BS_EZRVK9ZQ,BS_XHSRBERM,BS_3CTRC269,BS_A70FPYSH,BS_T4KS08ND,BS_8T0AKNMJ,BS_MGHRCZEV,BS_RW0JJ9BQ,BS_2XTH5QRD,BS_MDEQHB6J,BS_4JVC08W2,BS_HA1N9VCX,BS_XJDB3R9K,BS_GMH5C45K,BS_S01DMJ5X,BS_FE3BY6DT,BS_FHNTKFVJ,BS_GWN2F333,BS_6Y5F3QGV,BS_94ZKC2SR,BS_3CSY3JTN,BS_A3198WFE,BS_WKPG4MH1,BS_H5RWQDCJ,BS_KC02E200,BS_59ZF7365,BS_ZWRZRC4V,BS_5Z1QJPG6,BS_HW9CGZ29,BS_3V34S6KM,BS_QS2NKZW3,BS_6WBAV14H,BS_S0B4WASX,BS_S5KDWVEA,BS_ERHKS2Y7,BS_NPVE58AT,BS_EXEE6TDK,BS_9C595Y9M,BS_DBXCETW2,BS_3N0ZS3G3,BS_CZ7DWCPE,BS_YZJ5YQ12,BS_0SC4QNTM,BS_JY850J9G,BS_28ZRHXX8,BS_15ED4VDX,BS_2Y28PRQC,BS_EF8F5GH8,BS_9R8GFR36,BS_97SKFHM4,BS_REGK1PS6,BS_AFRGW493,BS_MAJ800Q0,BS_N13KZYRR,BS_8VPBB5C2,BS_WR5VE59B,BS_W3ZSVEVP,BS_W5X4568N,BS_Z0MTZA9K,BS_6N7RPHX9,BS_WHX83JW2,BS_3KGHX57D,BS_43R2B7DR,BS_A2HY1DZA,BS_6GSJCDCN,BS_BG0ZDND2,BS_19PXZ71B,TARGET-30-PALWVJ-01A-01R,TARGET-30-PATESI-01A-01R,TARGET-30-PATFCY-01A-01R,TARGET-30-PATFXV-01A-01R,TARGET-30-PATGLU-01A-01R,TARGET-30-PATHVK-01A-01R,TARGET-30-PATINJ-01A-01R,TARGET-30-PANXJL-01A-01R,TARGET-30-PAPLSD-01A-01R,TARGET-30-PAPTFZ-01A-01R,TARGET-30-PAPTLV-01A-01R,TARGET-30-PATGJU-01A-01R,TARGET-30-PATHKB-01A-01R,TARGET-30-PASGAP-01A-01R,TARGET-30-PAISNS-01A-01R,TARGET-30-PASNEF-01A-01R,TARGET-30-PASSRN-01A-01R,TARGET-30-PALIIN-01A-01R,TARGET-30-PATEPF-01A-01R,TARGET-30-PATDXC-01A-01R,TARGET-30-PATCFL-01A-01R,TARGET-30-PASWIJ-01A-01R,TARGET-30-PATEKG-01A-01R,TARGET-30-PATDWN-01A-01R,TARGET-30-PALETP-01A-01R,TARGET-30-PALKUC-01A-01R,TARGET-30-PAPTDH-01A-01R,TARGET-30-PARFRE-01A-01R,TARGET-30-PARJVP-01A-01R,TARGET-30-PARNNC-01A-01R,TARGET-30-PARZHA-01A-01R,TARGET-30-PASCFC-01A-01R,TARGET-30-PASCTR-01A-01R,TARGET-30-PAPICY-01A-01R,TARGET-30-PASFIC-01A-01R,TARGET-30-PASZPI-01A-01R,TARGET-30-PASXRJ-01A-01R,TARGET-30-PAPVRN-01A-01R,TARGET-30-PAKZRH-01A-01R,TARGET-30-PANZRV-01A-01R,TARGET-30-PATDXG-01A-01R,TARGET-30-PASJZC-01A-01R,TARGET-30-PASUML-01A-01R,TARGET-30-PASSWW-01A-01R,TARGET-30-PASPBZ-01A-01R,TARGET-30-PASNML-01A-01R,TARGET-30-PASMDM-01A-01R,TARGET-30-PATAYJ-01A-01R,TARGET-30-PALBFW-01A-01R,TARGET-30-PANNMS-01A-01R,TARGET-30-PALNVP-01A-01R,TARGET-30-PAMNLH-01A-01R,TARGET-30-PARACM-01A-01R,TARGET-30-PANRRW-01A-01R,TARGET-30-PAMYCE-01A-01R,TARGET-30-PANLET-01A-01R,TARGET-30-PALTEG-01A-01R,TARGET-30-PAPEFE-01A-01R,TARGET-30-PALVKK-01A-01R,TARGET-30-PASWVY-01A-01R,TARGET-30-PALUYS-01A-01R,TARGET-30-PAMBMJ-01A-01R,TARGET-30-PALZZV-01A-01R,TARGET-30-PAMEZH-01A-01R,TARGET-30-PAMMXF-01A-01R,TARGET-30-PAMVRA-01A-01R,TARGET-30-PAMZMG-01A-01R,TARGET-30-PANBSP-01A-01R,TARGET-30-PANYGR-01A-01R,TARGET-30-PARZIP-01A-01R,TARGET-30-PARYNK-01A-01R,TARGET-30-PARVLK-01A-01R,TARGET-30-PASVRU-01A-01R,TARGET-30-PANUIF-01A-01R,TARGET-30-PANBJH-01A-01R,TARGET-30-PAPZYP-01A-01R,TARGET-30-PANRVJ-01A-01R,TARGET-30-PAITCI-01A-01R,TARGET-30-PAKYZS-01A-01R,TARGET-30-PAITEG-01A-01R,TARGET-30-PAIVHE-01A-01R,TARGET-30-PAPKWN-01A-01R,TARGET-30-PAPBGH-01A-01R,TARGET-30-PALCBW-01A-01R,TARGET-30-PAPUNH-01A-01R,TARGET-30-PAPUEB-01A-01R,TARGET-30-PANRHJ-01A-01R,TARGET-30-PASXIE-01A-01R,TARGET-30-PASWYR-01A-01R,TARGET-30-PASYPX-01A-01R,TARGET-30-PATYIL-01A-01R,TARGET-30-PASNPG-01A-01R,TARGET-30-PASHFA-01A-01R,TARGET-30-PARBAJ-01A-01R,TARGET-30-PARHAM-01A-01R,TARGET-30-PASEGA-01A-01R,TARGET-30-PALEVG-01A-01R,TARGET-30-PAIPGU-01A-01R,TARGET-30-PAPHPE-01A-01R,TARGET-30-PANBMJ-01A-01R,TARGET-30-PAPBZI-01A-01R,TARGET-30-PANZVU-01A-01R,TARGET-30-PAUDDK-01A-01R,TARGET-30-PANZPV-01A-01R,TARGET-30-PANJLH-01A-01R,TARGET-30-PANGXK-01A-01R,TARGET-30-PAMZGT-01A-01R,TARGET-30-PASWFB-01A-01R,TARGET-30-PASXGP-01A-01R,TARGET-30-PANKFE-01A-01R,TARGET-30-PASFGG-01A-01R,TARGET-30-PALXTB-01A-01R,TARGET-30-PASMJG-01A-01R,TARGET-30-PASGUT-01A-01R,TARGET-30-PARDCK-01A-01R,TARGET-30-PASTCN-01A-01R,TARGET-30-PASTKC-01A-01R,TARGET-30-PASUYG-01A-01R,TARGET-30-PASPER-01A-01R,TARGET-30-PASUCB-01A-01R,TARGET-30-PANSBN-01A-01R,TARGET-30-PASSRS-01A-01R,TARGET-30-PARSBI-01A-01R,TARGET-30-PASRFS-01A-01R,TARGET-30-PASNZU-01A-01R,TARGET-30-PAPKXS-01A-01R,TARGET-30-PARKGJ-01A-01R,TARGET-30-PAPBJE-01A-01R,TARGET-30-PAPCTS-01A-01R,TARGET-30-PAIFXV-01A-01R,TARGET-30-PARBGP-01A-01R,TARGET-30-PAPTAN-01A-01R,TARGET-30-PARDIW-01A-01R,TARGET-30-PASMNT-01A-01R,TARGET-30-PARAMT-01A-01R,TARGET-30-PARACS-01A-01R,TARGET-30-PANWRR-01A-01R,TARGET-30-PAPZYZ-01A-01R,TARGET-30-PAPVXS-01A-01R,TARGET-30-PAPVFD-01A-01R,TARGET-30-PAPUWY-01A-01R,TARGET-30-PARFWB-01A-01R,TARGET-30-PAPTCR-01A-01R,TARGET-30-PARGKK-01A-01R
Neurofibroma/Plexiform___all_cohorts	PBTA_9_samples	9	BS_FRM9TG02,BS_ENKG5GF3,BS_2W3NC4K1,BS_0RF0EZTV,BS_893A91ZM,BS_49VCQD19,BS_TQ5QHR17,BS_Z28VKGNS,BS_NDRDM2A9
