sample	caller
BS_42Y9E1Q8	gatk
BS_45913DTA	gatk
BS_47454JJ6	gatk
BS_47X3VAM0	gatk
BS_49JD1V3S	gatk
BS_4D9SK48F	gatk
BS_4DQAQFQH	cnvkit
BS_4DQAQFQH	freec
BS_4DQAQFQH	gatk
BS_4DTX295Z	gatk
BS_4DY83R02	gatk
BS_4DYW3T2A	gatk
BS_4G4PK2D4	freec
BS_4G4PK2D4	gatk
BS_4G9Y2VC6	gatk
BS_4GHFYCWZ	gatk
BS_4GKH983E	gatk
BS_4J4MVGTR	gatk
BS_4J8JK335	gatk
BS_4M0ZMCDC	gatk
BS_4NPEMNAD	gatk
BS_4P25NNZD	gatk
BS_4PAE19ZC	gatk
BS_4PM2QG9C	gatk
BS_4QFSH7C4	gatk
BS_4RS1SC48	gatk
BS_4RX1AAVV	freec
BS_4RX1AAVV	gatk
BS_4T8J7JEP	gatk
BS_4VKRBRJC	freec
BS_4VKRBRJC	gatk
BS_4WSW3X49	gatk
BS_4XPPZTGG	gatk
BS_4Z6F1HJZ	gatk
BS_4ZE1R1FW	freec
BS_4ZE1R1FW	gatk
BS_4ZKN0WGS	gatk
BS_50XV7CTQ	gatk
BS_53TV75NN	gatk
BS_55AHFCX4	cnvkit
BS_55AHFCX4	gatk
BS_55N7KFHW	gatk
BS_55PH1SAS	gatk
BS_56CA6BFQ	gatk
BS_588QYDB1	freec
BS_588QYDB1	gatk
BS_58X7SKJS	cnvkit
BS_58X7SKJS	gatk
BS_5968GBGT	cnvkit
BS_5968GBGT	freec
BS_5968GBGT	gatk
BS_59BAHXTQ	freec
BS_59BAHXTQ	gatk
BS_59FR1NC2	freec
BS_59FR1NC2	gatk
BS_5ACNB1BG	freec
BS_5ACNB1BG	gatk
BS_5B6XZ7YP	gatk
BS_5BB8J64W	gatk
BS_5BFNH9S6	freec
BS_5BFNH9S6	gatk
BS_5BMNK8SY	gatk
BS_5BNV7MCF	gatk
BS_5CR48ZM7	gatk
BS_5D24XV4T	gatk
BS_5DXK26YF	gatk
BS_5J5VH3X0	cnvkit
BS_5J5VH3X0	gatk
BS_5JC116NM	gatk
BS_5KFAEMQJ	gatk
BS_5KK9P7XD	gatk
BS_5NAKYS1S	freec
BS_5NAKYS1S	gatk
BS_5PEA35TB	freec
BS_5PEA35TB	gatk
BS_5QFRPR61	gatk
BS_5R0HHQ1Y	gatk
BS_5RD8KEED	gatk
BS_5S8VXASX	gatk
BS_5TT6TT4K	gatk
BS_5V2FBYQG	gatk
BS_5V2XCW17	freec
BS_5V2XCW17	gatk
BS_5WK2KXYW	gatk
BS_5XZP7F4Q	gatk
BS_5Y2Q63Y4	gatk
BS_5Z0GA574	gatk
BS_5Z4XQC9X	gatk
BS_5ZRZC3ZM	gatk
BS_62XRDTM6	gatk
BS_64P50TAP	gatk
BS_65F8T6N7	gatk
BS_682Z7WH6	gatk
BS_68TZMZH1	gatk
BS_69KVWAWK	cnvkit
BS_69KVWAWK	gatk
BS_69VS8PS1	gatk
BS_6AENZKKA	freec
BS_6AENZKKA	gatk
BS_6F49F7WH	freec
BS_6F49F7WH	gatk
BS_6FA0NNF1	gatk
BS_6FV7BDE3	gatk
BS_6FYTRKJJ	gatk
BS_6GN1FGTB	gatk
BS_6GTKRGNK	gatk
BS_6GV08HTE	gatk
BS_6HE8H9HY	gatk
BS_6JBE0947	cnvkit
BS_6JBE0947	gatk
BS_6K2SSJ77	gatk
BS_6KEYD1S4	gatk
BS_6KH6CXMH	cnvkit
BS_6KH6CXMH	freec
BS_6KH6CXMH	gatk
BS_6NPSZJ4C	gatk
BS_6Q9PMNWY	gatk
BS_6S50RDHT	freec
BS_6S50RDHT	gatk
BS_6SA5B35V	gatk
BS_6T87HSPX	gatk
BS_6TMPZKSZ	gatk
BS_6VKKMM6M	gatk
BS_6X2BQQGE	gatk
BS_6X3Z0AVR	gatk
BS_6XHDR1WS	gatk
BS_6XP91JM2	gatk
BS_6Y7FX7QJ	gatk
BS_6Z213H2V	gatk
BS_6Z4WHYDG	cnvkit
BS_6Z4WHYDG	gatk
BS_6ZP2KRPW	gatk
BS_70FKSKM9	gatk
BS_71HPXFE7	gatk
BS_742CDKAS	freec
BS_742CDKAS	gatk
BS_74A1TB03	cnvkit
BS_74A1TB03	gatk
BS_75HW641M	gatk
BS_75VHXMZN	gatk
BS_76SQJSHP	gatk
BS_78TQS4Y3	gatk
BS_797V83YM	gatk
BS_79NQJZ09	freec
BS_79NQJZ09	gatk
