CancerGroup	SearchTerm	MONDOOntoID	OntoDesc
Intrahepatic Cholangiocarcinoma	Intrahepatic Cholangiocarcinoma	MONDO_0003210	intrahepatic cholangiocarcinoma
Juvenile xanthogranuloma	Juvenile xanthogranuloma	MONDO_0015534	juvenile xanthogranuloma
Langerhans Cell histiocytosis	Langerhans Cell histiocytosis	MONDO_0018310	Langerhans cell histiocytosis
Low-grade glioma/astrocytoma	Low-grade glioma astrocytoma	MONDO_0021637	low grade glioma
Lung Adenocarcinoma	Lung Adenocarcinoma	MONDO_0005061	lung adenocarcinoma
Lung Squamous Cell Carcinoma	Lung Squamous Cell Carcinoma	MONDO_0005097	squamous cell lung carcinoma
Lymphoid Neoplasm Diffuse Large B-cell Lymphoma	Lymphoid Neoplasm Diffuse Large B-cell Lymphoma	MONDO_0018905	diffuse large B-cell lymphoma
Malignant peripheral nerve sheath tumor	Malignant peripheral nerve sheath tumor	MONDO_0017827	malignant peripheral nerve sheath tumor
Medulloblastoma	Medulloblastoma	MONDO_0007959	medulloblastoma
Melanocytic tumor	Melanocytic tumor	MONDO_0016744	primary melanocytic tumor of central nervous system
Melanoma	Melanoma	MONDO_0005105	melanoma
Meningioma	Meningioma	MONDO_0016642	meningioma
Mesothelioma	Mesothelioma	MONDO_0005065	mesothelioma
Metastatic secondary tumors	Metastatic secondary tumors	MONDO_0024879	metastatic carcinoma
Mixed germ cell tumor	Mixed germ cell tumor	MONDO_0015864	mixed germ cell tumor
Myeloid Neoplasm	Myeloid Neoplasm	MONDO_0005170	myeloid neoplasm
Neuroblastoma	Neuroblastoma	MONDO_0005072	neuroblastoma
Neuroepithelial neoplasm	Neuroepithelial neoplasm	MONDO_0021193	neuroepithelial neoplasm
Neurofibroma/Plexiform	Neurofibroma Plexiform	MONDO_0003304	plexiform neurofibroma
Non-Hodgkin Lymphoma	Non-Hodgkin Lymphoma	MONDO_0018908	non-Hodgkin lymphoma
Oligodendroglioma	Oligodendroglioma	MONDO_0016695	oligodendroglioma
Osteosarcoma	Osteosarcoma	MONDO_0009807	osteosarcoma
Ovarian Serous Cystadenocarcinoma	Ovarian Serous Cystadenocarcinoma	MONDO_0006046	ovarian serous cystadenocarcinoma
Pancreatic Adenocarcinoma	Pancreatic Adenocarcinoma	MONDO_0006047	pancreatic adenocarcinoma
Pheochromocytoma and Paraganglioma	Pheochromocytoma and Paraganglioma	MONDO_0035540	pheochromocytoma-paraganglioma
Pilocytic astrocytoma	Pilocytic astrocytoma	MONDO_0016691	pilocytic astrocytoma
Pineal tumor	Pineal tumor	MONDO_0003248	adult pineal parenchymal tumor
Pineoblastoma	Pineoblastoma	MONDO_0016722	pineoblastoma
Pineocytoma	Pineocytoma	MONDO_0016723	pineocytoma
Pleomorphic xanthoastrocytoma	Pleomorphic xanthoastrocytoma	MONDO_0016690	pleomorphic xanthoastrocytoma
Prostate Adenocarcinoma	Prostate Adenocarcinoma	MONDO_0005082	prostate adenocarcinoma
Rectum Adenocarcinoma	Rectum Adenocarcinoma	MONDO_0002169	rectum adenocarcinoma
Renal Clear Cell Carcinoma	Renal Clear Cell Carcinoma	MONDO_0005005	clear cell renal carcinoma
Renal Papillary Cell Carcinoma	Renal Papillary Cell Carcinoma	MONDO_0017884	papillary renal cell carcinoma
Retinoblastoma	Retinoblastoma	MONDO_0008380	retinoblastoma
Rhabdoid tumor of the kidney	Rhabdoid tumor of the kidney	MONDO_0002729	rhabdoid tumor of the kidney
Rhabdomyosarcoma	Rhabdomyosarcoma	MONDO_0005212	rhabdomyosarcoma
Rosai-Dorfman disease	Rosai-Dorfman disease	MONDO_0010155	Dorfman-Chanarin disease
Rosette-forming glioneuronal tumor	Rosette-forming glioneuronal tumor	MONDO_0016736	rosette-forming glioneuronal tumor of fourth ventricule
Sarcoma	Sarcoma	MONDO_0005089	sarcoma
Schwannoma	Schwannoma	MONDO_0002546	schwannoma
Stomach Adenocarcinoma	Stomach Adenocarcinoma	MONDO_0005036	gastric adenocarcinoma
Subependymal Giant Cell Astrocytoma	Subependymal Giant Cell Astrocytoma	MONDO_0016693	subependymal giant cell astrocytoma
T Acute Lymphoblastic Leukemia/Lymphoma	T Acute Lymphoblastic Leukemia Lymphoma	MONDO_0003537	precursor T-lymphoblastic lymphoma/leukemia
Teratoma	Teratoma	MONDO_0002601	teratoma
Testicular Germ Cell Tumor	Testicular Germ Cell Tumor	MONDO_0010108	testicular germ cell tumor
Thymoma	Thymoma	MONDO_0006456	thymoma
Thyroid Carcinoma	Thyroid Carcinoma	MONDO_0015075	thyroid gland carcinoma
Thyroid Gland Follicular Carcinoma	Thyroid Gland Follicular Carcinoma	MONDO_0005034	thyroid gland follicular carcinoma
Thyroid Gland Papillary Carcinoma	Thyroid Gland Papillary Carcinoma	MONDO_0005075	thyroid gland papillary carcinoma
Uterine Carcinosarcoma	Uterine Carcinosarcoma	MONDO_0006485	uterine carcinosarcoma
Uterine Corpus Endometrial Carcinoma	Uterine Corpus Endometrial Carcinoma	MONDO_0000553	uterine corpus endometrial carcinoma
Uveal Melanoma	Uveal Melanoma	MONDO_0006486	uveal melanoma
Wilms tumor	Wilms tumor	MONDO_0006058	Wilms tumor
