CancerGroup	SearchTerm	EFOOntoID	OntoDesc
Langerhans Cell histiocytosis	Langerhans Cell histiocytosis	EFO_1000318	Langerhans Cell Histiocytosis
Low-grade glioma/astrocytoma	Low-grade glioma astrocytoma	MONDO_0021637	low grade glioma
Lung Adenocarcinoma	Lung Adenocarcinoma	EFO_0000571	lung adenocarcinoma
Lung Squamous Cell Carcinoma	Lung Squamous Cell Carcinoma	EFO_0000708	squamous cell lung carcinoma
Lymphoid Neoplasm Diffuse Large B-cell Lymphoma	Lymphoid Neoplasm Diffuse Large B-cell Lymphoma	EFO_0000403	diffuse large B-cell lymphoma
Malignant peripheral nerve sheath tumor	Malignant peripheral nerve sheath tumor	EFO_0000760	malignant peripheral nerve sheath tumor
Medulloblastoma	Medulloblastoma	EFO_0002939	medulloblastoma
Melanocytic tumor	Melanocytic tumor	MONDO_0016744	primary melanocytic tumor of central nervous system
Melanoma	Melanoma	EFO_0000756	melanoma
Meningioma	Meningioma	MONDO_0016642	meningioma
Mesothelioma	Mesothelioma	EFO_0000588	mesothelioma
Metastatic secondary tumors	Metastatic secondary tumors	EFO_0009709	metastatic neoplasm
Mixed germ cell tumor	Mixed germ cell tumor	MONDO_0015864	mixed germ cell tumor
Myeloid Neoplasm	Myeloid Neoplasm	EFO_0002427	myeloid neoplasm
Neuroblastoma	Neuroblastoma	EFO_0000621	neuroblastoma
Neuroepithelial neoplasm	Neuroepithelial neoplasm	MONDO_0021193	neuroepithelial neoplasm
Neurofibroma/Plexiform	Neurofibroma Plexiform	EFO_0000658	plexiform neurofibroma
Non-Hodgkin Lymphoma	Non-Hodgkin Lymphoma	MONDO_0042493	gastric non-hodgkin lymphoma
Oligodendroglioma	Oligodendroglioma	EFO_0000632	oligodendroglioma
Osteosarcoma	Osteosarcoma	EFO_0000637	osteosarcoma
Ovarian Serous Cystadenocarcinoma	Ovarian Serous Cystadenocarcinoma	EFO_1000043	ovarian serous cystadenocarcinoma
Pancreatic Adenocarcinoma	Pancreatic Adenocarcinoma	EFO_1000044	pancreatic adenocarcinoma
Pheochromocytoma and Paraganglioma	Pheochromocytoma and Paraganglioma	EFO_0020005	pheochromocytoma-paraganglioma
Pilocytic astrocytoma	Pilocytic astrocytoma	MONDO_0016691	pilocytic astrocytoma
Pineal tumor	Pineal tumor	MONDO_0021232	pineal body neoplasm
Pineoblastoma	Pineoblastoma	EFO_1000475	Pineoblastoma
Pineocytoma	Pineocytoma	EFO_1000476	Pineocytoma
Pleomorphic xanthoastrocytoma	Pleomorphic xanthoastrocytoma	MONDO_0016690	pleomorphic xanthoastrocytoma
Prostate Adenocarcinoma	Prostate Adenocarcinoma	EFO_0000673	prostate adenocarcinoma
Rectum Adenocarcinoma	Rectum Adenocarcinoma	EFO_0005631	rectal adenocarcinoma
Renal Clear Cell Carcinoma	Renal Clear Cell Carcinoma	EFO_0000349	clear cell renal carcinoma
Renal Papillary Cell Carcinoma	Renal Papillary Cell Carcinoma	EFO_0000640	papillary renal cell carcinoma
Retinoblastoma	Retinoblastoma	MONDO_0008380	retinoblastoma
Rhabdoid tumor of the kidney	Rhabdoid tumor of the kidney	EFO_1000512	Rhabdoid Tumor of the Kidney
Rhabdomyosarcoma	Rhabdomyosarcoma	EFO_0002918	rhabdomyosarcoma
Rosai-Dorfman disease	Rosai-Dorfman disease	MONDO_0006412	sinus histiocytosis with massive lymphadenopathy
Rosette-forming glioneuronal tumor	Rosette-forming glioneuronal tumor	MONDO_0016736	rosette-forming glioneuronal tumor of fourth ventricule
Sarcoma	Sarcoma	EFO_0000691	sarcoma
Schwannoma	Schwannoma	EFO_0000693	schwannoma
Stomach Adenocarcinoma	Stomach Adenocarcinoma	EFO_0000503	gastric adenocarcinoma
Subependymal Giant Cell Astrocytoma	Subependymal Giant Cell Astrocytoma	MONDO_0016693	subependymal giant cell astrocytoma
T Acute Lymphoblastic Leukemia/Lymphoma	T Acute Lymphoblastic Leukemia Lymphoma	EFO_1001936	adult T acute lymphoblastic leukemia
Teratoma	Teratoma	MONDO_0002601	teratoma
Testicular Germ Cell Tumor	Testicular Germ Cell Tumor	EFO_1000566	Testicular Germ Cell Tumor
Thymoma	Thymoma	EFO_1000581	Thymoma
Thyroid Carcinoma	Thyroid Carcinoma	EFO_0002892	thyroid carcinoma
Thyroid Gland Follicular Carcinoma	Thyroid Gland Follicular Carcinoma	EFO_0000501	follicular thyroid carcinoma
Thyroid Gland Papillary Carcinoma	Thyroid Gland Papillary Carcinoma	EFO_0000641	papillary thyroid carcinoma
Uterine Carcinosarcoma	Uterine Carcinosarcoma	EFO_1000613	Uterine Carcinosarcoma
Uterine Corpus Endometrial Carcinoma	Uterine Corpus Endometrial Carcinoma	EFO_1000238	Endometrial Serous Adenocarcinoma
Uveal Melanoma	Uveal Melanoma	EFO_1000616	Uveal Melanoma
Wilms tumor	Wilms tumor	MONDO_0006058	Wilms tumor
